# Ignis real-fluid property table: hydrogen
# generated 2026-09-17T07:22:34Z by tools/build_coolant_tables.py
# source: CoolProp 8.0.0 reference EOS for Hydrogen
# units: T[K] p[Pa] rho[kg/m3] cp[J/(kg K)] h[J/kg] mu[Pa s] k[W/(m K)] valid[0/1]
# critical: Tc=33.144333 pc=1296357.606055 rhoc=31.249937 Ttriple=13.957000 M=0.002015880 acentric=-0.219000
# saturation curve (p[Pa],Tsat[K]); NaN above the critical pressure
#sat 500000:27.242765 557888.3:27.844424 622478.71:28.465945 694547.18:29.107798 774959.49:29.770339 864681.67:30.45373 964791.58:31.157785 1076491.9:31.881624 1201124.4:32.622632 1340186.5:nan 1495348.8:nan 1668475.2:nan 1861645.6:nan 2077180.6:nan 2317669.5:nan 2586001.4:nan 2885399.8:nan 3219461.6:nan 3592199.9:nan 4008092.6:nan 4472136:nan 4989904.7:nan 5567618.9:nan 6212218.8:nan 6931448.4:nan 7733948:nan 8629358.2:nan 9628435.9:nan 10743184:nan 11986993:nan 13374806:nan 14923296:nan 16651064:nan 18578868:nan 20729866:nan 23129899:nan 25807800:nan 28795740:nan 32129613:nan 35849470:nan 40000000:nan
#grid nT=109 np=41
T,p,rho,cp,h,mu,k,valid
22,500000,69.432367,10537.679,20137.42956,1.2187573e-05,0.10441187,1
22,557888.3,69.520765,10501.08,20637.82256,1.2245175e-05,0.10453577,1
22,622478.71,69.618388,10461.199,21198.82538,1.230916e-05,0.10467291,1
22,694547.18,69.726092,10417.84,21828.00062,1.2380208e-05,0.1048246,1
22,774959.49,69.844791,10370.812,22533.88469,1.2459067e-05,0.10499225,1
22,864681.67,69.975457,10319.937,23326.11413,1.2546559e-05,0.1051774,1
22,964791.58,70.11912,10265.054,24215.56731,1.2643589e-05,0.10538171,1
22,1076491.9,70.276866,10206.018,25214.5226,1.275115e-05,0.10560694,1
22,1201124.4,70.449834,10142.712,26336.83474,1.287033e-05,0.10585504,1
22,1340186.5,70.639215,10075.048,27598.13053,1.3002329e-05,0.10612806,1
22,1495348.8,70.846246,10002.97,29016.02521,1.3148462e-05,0.10642823,1
22,1668475.2,71.072205,9926.4629,30610.36113,1.3310175e-05,0.10675794,1
22,1861645.6,71.318405,9845.5506,32403.46968,1.3489059e-05,0.10711977,1
22,2077180.6,71.586189,9760.3017,34420.45781,1.3686867e-05,0.10751649,1
22,2317669.5,71.876919,9670.8291,36689.52055,1.3905534e-05,0.1079511,1
22,2586001.4,72.191971,9577.2906,39242.28056,1.4147196e-05,0.10842685,1
22,2885399.8,72.532728,9479.887,42114.15623,1.4414223e-05,0.10894726,1
22,3219461.6,72.900567,9378.8594,45344.75976,1.4709246e-05,0.10951618,1
22,3592199.9,73.296856,9274.4847,48978.32688,1.5035195e-05,0.11013784,1
22,4008092.6,73.722941,9167.07,53064.18032,1.5395347e-05,0.11081688,1
22,4472136,74.180144,9056.9455,57657.22942,1.5793376e-05,0.11155848,1
22,4989904.7,74.669754,8944.4574,62818.5089,1.6233421e-05,0.11236839,1
22,5567618.9,75.19302,8829.9587,68615.76039,1.6720163e-05,0.11325309,1
22,6212218.8,75.751149,8713.8012,75124.06109,1.7258916e-05,0.1142199,1
22,6931448.4,76.345304,8596.3259,82426.50476,1.7855745e-05,0.11527712,1
22,7733948,76.976602,8477.8545,90614.94106,1.8517603e-05,0.11643424,1
22,8629358.2,77.646114,8358.6802,99790.78021,1.9252503e-05,0.11770215,1
22,9628435.9,78.354868,8239.0594,110065.8709,2.0069726e-05,0.1190934,1
22,10743184,79.103858,8119.2027,121563.46,2.0980085e-05,0.12062252,1
22,11986993,79.894045,7999.266,134419.2434,2.1996246e-05,0.12230635,1
22,13374806,80.726372,7879.3416,148782.518,2.3133137e-05,0.12416449,1
22,14923296,81.60177,7759.448,164817.4447,2.4408459e-05,0.12621978,1
22,16651064,82.521175,7639.5184,182704.4325,2.5843342e-05,0.12849892,1
22,18578868,83.485537,7519.3884,202641.6543,2.7463171e-05,0.13103313,1
22,20729866,84.495836,7398.7812,224846.702,2.9298662e-05,0.13385899,1
22,23129899,85.55309,7277.2913,249558.3927,3.1387247e-05,0.13701937,1
22,25807800,86.658371,7154.3656,277038.7317,3.377489e-05,0.14056457,1
22,28795740,87.812809,7029.2832,307575.0408,3.6518479e-05,0.14455362,1
22,32129613,89.017595,6901.1335,341482.2611,3.9689001e-05,0.14905585,1
22,35849470,90.273984,6768.7935,379105.4357,4.3375817e-05,0.15415264,1
22,40000000,91.583286,6630.9052,420822.3838,4.7692443e-05,0.15993952,1
32,500000,4.4839584,13594.126,533877.259,1.681664e-06,0.03000997,1
32,557888.3,5.1319586,14281.115,526285.3208,1.6950153e-06,0.03076122,1
32,622478.71,5.9045624,15204.04,517306.6177,1.7120899e-06,0.031676031,1
32,694547.18,6.8417919,16504.715,506518.567,1.7345e-06,0.032826946,1
32,774959.49,8.0082543,18471.319,493247.1204,1.7650104e-06,0.034349934,1
32,864681.67,9.5219821,21802.466,476278.6534,1.808984e-06,0.03654104,1
32,964791.58,11.650478,28815.82,452918.1376,1.879337e-06,0.040226882,1
32,1076491.9,15.408263,57033.245,413301.9321,2.0286835e-06,0.049653784,1
32,1201124.4,49.23453,39069.686,187796.7259,5.410888e-06,0.090504966,1
32,1340186.5,51.034577,30792.658,181161.6224,5.7498211e-06,0.092111521,1
32,1495348.8,52.492869,26339.233,176472.322,6.0432118e-06,0.093719518,1
32,1668475.2,53.771948,23436.146,172943.9226,6.3155038e-06,0.095267219,1
32,1861645.6,54.943345,21340.742,170249.0768,6.5779955e-06,0.096764498,1
32,2077180.6,56.045683,19729.467,168227.4208,6.8372203e-06,0.098228777,1
32,2317669.5,57.102532,18435.968,166796.6395,7.097561e-06,0.099676198,1
32,2586001.4,58.129536,17364.834,165917.2579,7.3623093e-06,0.1011207,1
32,2885399.8,59.137742,16456.896,165576.3843,7.6341738e-06,0.10257444,1
32,3219461.6,60.135338,15673.242,165779.4185,7.9155546e-06,0.10404834,1
32,3592199.9,61.128634,14987.067,166545.5485,8.2087104e-06,0.10555258,1
32,4008092.6,62.12266,14379.209,167905.2277,8.5158694e-06,0.10709693,1
32,4472136,63.121542,13835.534,169898.7701,8.8393123e-06,0.10869097,1
32,4989904.7,64.128743,13345.344,172575.6231,9.1814415e-06,0.11034391,1
32,5567618.9,65.147245,12900.344,175994.0752,9.544844e-06,0.11206321,1
32,6212218.8,66.17966,12493.98,180221.2651,9.9323547e-06,0.11384217,1
32,6931448.4,67.228326,12120.967,185333.4103,1.0347124e-05,0.11573855,1
32,7733948,68.295369,11776.975,191416.2097,1.0792694e-05,0.11783265,1
32,8629358.2,69.382758,11458.396,198565.3916,1.1273087e-05,0.12005912,1
32,9628435.9,70.492346,11162.177,206887.3908,1.1792912e-05,0.12243938,1
32,10743184,71.625902,10885.694,216500.1481,1.235749e-05,0.12499794,1
32,11986993,72.785144,10626.657,227534.0262,1.2973013e-05,0.12776305,1
32,13374806,73.971757,10383.036,240132.8451,1.3646739e-05,0.13076735,1
32,14923296,75.187418,10153.006,254455.0372,1.4387232e-05,0.13404868,1
32,16651064,76.433811,9934.8966,270674.9266,1.5204671e-05,0.13765103,1
32,18578868,77.71264,9727.1551,288984.1386,1.6111236e-05,0.14162564,1
32,20729866,79.025639,9528.3154,309593.1442,1.7121611e-05,0.14603227,1
32,23129899,80.374581,9336.9692,332732.9483,1.8253623e-05,0.1509407,1
32,25807800,81.761277,9151.743,358656.9278,1.9529076e-05,0.1564325,1
32,28795740,83.187575,8971.2767,387642.8306,2.0974855e-05,0.16260306,1
32,32129613,84.655355,8794.2058,419994.944,2.2624377e-05,0.16956397,1
32,35849470,86.166516,8619.1453,456046.4472,2.4519535e-05,0.17744578,1
32,40000000,87.722961,8444.6768,496161.9615,2.6713334e-05,0.18640113,1
42,500000,3.0983497,11632.793,657451.6512,2.1314299e-06,0.035455533,1
42,557888.3,3.4880426,11817.908,653310.6183,2.1412903e-06,0.035880654,1
42,622478.71,3.9315518,12034.382,648626.7298,2.1528809e-06,0.03635967,1
42,694547.18,4.4377361,12289.234,643318.9152,2.1665897e-06,0.036901069,1
42,774959.49,5.0173595,12591.622,637290.9942,2.1829175e-06,0.037515443,1
42,864681.67,5.6836468,12953.712,630427.9021,2.2025201e-06,0.038216337,1
42,964791.58,6.4530527,13391.962,622590.6666,2.2262694e-06,0.03902155,1
42,1076491.9,7.3463435,13929.084,613609.6383,2.2553462e-06,0.03995517,1
42,1201124.4,8.3901485,14597.079,603275.3101,2.2913818e-06,0.041050835,1
42,1340186.5,9.6192121,15441.9,591325.9473,2.336682e-06,0.042356992,1
42,1495348.8,11.079683,16530.416,577431.5867,2.3945901e-06,0.043945422,1
42,1668475.2,12.833801,17959.502,561176.1761,2.4700854e-06,0.045924578,1
42,1861645.6,14.965866,19861.916,542048.6095,2.5707642e-06,0.048457971,1
42,2077180.6,17.586572,22381.523,519484.5314,2.7083172e-06,0.05177818,1
42,2317669.5,20.821769,25521.887,493088.8191,2.8999948e-06,0.056151119,1
42,2586001.4,24.744712,28712.515,463293.5489,3.1667862e-06,0.061684847,1
42,2885399.8,29.217331,30514.861,432330.2259,3.5207537e-06,0.068017328,1
42,3219461.6,33.813609,29906.751,403850.5957,3.9457808e-06,0.074416811,1
42,3592199.9,38.08265,27612.326,380476.7475,4.4033042e-06,0.080334471,1
42,4008092.6,41.827914,24904.664,362616.0189,4.8612814e-06,0.085594477,1
42,4472136,45.072013,22463.589,349462.3977,5.3065412e-06,0.090247292,1
42,4989904.7,47.914086,20451.081,340045.3865,5.7385014e-06,0.094421626,1
42,5567618.9,50.452551,18828.066,333607.49,6.161483e-06,0.098249374,1
42,6212218.8,52.76494,17514.121,329633.4505,6.5809356e-06,0.10184201,1
42,6931448.4,54.908553,16436.648,327793.914,7.0021828e-06,0.10528944,1
42,7733948,56.925353,15539.697,327889.9154,7.4301789e-06,0.10866508,1
42,8629358.2,58.846432,14782,329813.3928,7.8695901e-06,0.11203132,1
42,9628435.9,60.695285,14133.31,333521.4321,8.3249613e-06,0.11544393,1
42,10743184,62.490071,13571.265,339019.8857,8.8008959e-06,0.11895501,1
42,11986993,64.245151,13079.094,346353.0347,9.302233e-06,0.12261398,1
42,13374806,65.972151,12644.002,355597.1205,9.8342272e-06,0.12645223,1
42,14923296,67.680694,12256.054,366856.3963,1.040274e-05,0.13061056,1
42,16651064,69.378918,11907.398,380260.8594,1.1014455e-05,0.13514986,1
42,18578868,71.073849,11591.717,395965.1407,1.1677131e-05,0.14009432,1
42,20729866,72.771664,11303.84,414148.2246,1.2399912e-05,0.14552877,1
42,23129899,74.477891,11039.459,435013.7867,1.3193712e-05,0.15155019,1
42,25807800,76.197548,10794.926,458791.0175,1.4071705e-05,0.1582703,1
42,28795740,77.935244,10567.091,485735.8439,1.5049967e-05,0.16581851,1
42,32129613,79.695256,10353.193,516132.497,1.614831e-05,0.17434527,1
42,35849470,81.481574,10150.768,550295.3942,1.739139e-05,0.18402591,1
42,40000000,83.297933,9957.5829,588571.32,1.8810207e-05,0.19506498,1
52,500000,2.4168787,11081.26,770573.5963,2.5336186e-06,0.041295859,1
52,557888.3,2.70831,11175.435,767746.1564,2.5415102e-06,0.041618124,1
52,622478.71,3.0364719,11282.583,764575.8146,2.5505943e-06,0.041976565,1
52,694547.18,3.4064015,11404.757,761019.3537,2.561086e-06,0.042375368,1
52,774959.49,3.8239293,11544.398,757027.8339,2.5732482e-06,0.042819316,1
52,864681.67,4.2958266,11704.419,752545.8282,2.5874038e-06,0.04331394,1
52,964791.58,4.8299855,11888.312,747510.5849,2.6039524e-06,0.04386572,1
52,1076491.9,5.4356357,12100.275,741851.1394,2.6233921e-06,0.044482375,1
52,1201124.4,6.1236052,12345.36,735487.4203,2.646348e-06,0.045173271,1
52,1340186.5,6.9066291,12629.645,728329.4426,2.6736105e-06,0.045950004,1
52,1495348.8,7.7997067,12960.407,720276.7642,2.7061859e-06,0.046827225,1
52,1668475.2,8.820495,13346.252,711218.5255,2.745363e-06,0.047823798,1
52,1861645.6,9.9897033,13797.099,701034.657,2.7928015e-06,0.048964402,1
52,2077180.6,11.3314,14323.808,689599.2995,2.8506435e-06,0.05028163,1
52,2317669.5,12.873043,14936.973,676788.2886,2.9216509e-06,0.051818558,1
52,2586001.4,14.644868,15644.026,662493.8682,3.0093549e-06,0.05363137,1
52,2885399.8,16.677928,16443.212,646651.6117,3.1181784e-06,0.055790824,1
52,3219461.6,18.999694,17312.808,629285.9094,3.2534315e-06,0.05837984,1
52,3592199.9,21.625873,18196.001,610577.5766,3.4209881e-06,0.06148247,1
52,4008092.6,24.548224,18989.555,590941.8678,3.6263845e-06,0.065159253,1
52,4472136,27.722114,19556.346,571071.854,3.8732495e-06,0.069410883,1
52,4989904.7,31.063465,19777.538,551876.2443,4.1616161e-06,0.074149227,1
52,5567618.9,34.464133,19617.252,534288.5269,4.4873566e-06,0.079205877,1
52,6212218.8,37.820768,19138.787,519045.1327,4.8435397e-06,0.084385137,1
52,6931448.4,41.058874,18458.782,506573.7569,5.2228894e-06,0.089526588,1
52,7733948,44.139745,17689.794,497026.279,5.619753e-06,0.094538209,1
52,8629358.2,47.053616,16911.565,490382.8909,6.0308468e-06,0.099394758,1
52,9628435.9,49.808586,16169.693,486550.9736,6.455095e-06,0.10411947,1
52,10743184,52.421425,15485.265,485429.4596,6.893143e-06,0.10876528,1
52,11986993,54.91181,14864.79,486941.7734,7.3469011e-06,0.11340194,1
52,13374806,57.299292,14307.152,491049.127,7.8192399e-06,0.11810904,1
52,14923296,59.601963,13807.734,497753.8384,8.3138366e-06,0.12297316,1
52,16651064,61.836026,13360.633,507098.4431,8.8351439e-06,0.12808771,1
52,18578868,64.015798,12959.767,519163.5193,9.3884506e-06,0.13355411,1
52,20729866,66.153885,12599.372,534065.5346,9.9800217e-06,0.13950939,1
52,23129899,68.261416,12274.2,551955.2231,1.0617312e-05,0.14607297,1
52,25807800,70.34826,11979.56,573016.6288,1.1309265e-05,0.15333482,1
52,28795740,72.423234,11711.292,597466.8315,1.2066708e-05,0.1614774,1
52,32129613,74.494261,11465.705,625556.2596,1.2902883e-05,0.17069055,1
52,35849470,76.568504,11239.523,657569.5729,1.3834154e-05,0.18119111,1
52,40000000,78.652468,11029.814,693827.0352,1.4880955e-05,0.19323019,1
62,500000,1.9942154,10884.088,880207.9628,2.9050261e-06,0.047110137,1
62,557888.3,2.2301983,10942.381,878120.4923,2.9114786e-06,0.047378013,1
62,622478.71,2.4947635,11008.045,875787.6147,2.91884e-06,0.047674912,1
62,694547.18,2.7915302,11082.077,873180.3621,2.9272578e-06,0.048003867,1
62,774959.49,3.1246117,11165.618,870266.423,2.9369076e-06,0.048368241,1
62,864681.67,3.4986882,11259.978,867009.8185,2.948e-06,0.04877179,1
62,964791.58,3.9190932,11366.656,863370.5821,2.9607883e-06,0.04921874,1
62,1076491.9,4.3919101,11487.367,859304.464,2.9755788e-06,0.049713895,1
62,1201124.4,4.9240838,11624.066,854762.6947,2.9927431e-06,0.050262791,1
62,1340186.5,5.5235442,11778.971,849691.8569,3.0127346e-06,0.050871911,1
62,1495348.8,6.1993407,11954.572,844033.9448,3.0361084e-06,0.051548981,1
62,1668475.2,6.9617818,12153.631,837726.7217,3.0635464e-06,0.052303384,1
62,1861645.6,7.8225689,12379.14,830704.5415,3.0958884e-06,0.053146731,1
62,2077180.6,8.7949034,12634.23,822899.8666,3.1341702e-06,0.054093614,1
62,2317669.5,9.8935326,12921.977,814245.813,3.1796693e-06,0.055162588,1
62,2586001.4,11.134678,13245.052,804680.1729,3.2339564e-06,0.056377358,1
62,2885399.8,12.535759,13605.123,794151.5224,3.2989508e-06,0.057768091,1
62,3219461.6,14.114779,14001.885,782628.1808,3.3769721e-06,0.059372593,1
62,3592199.9,15.889205,14431.57,770110.9026,3.4707707e-06,0.061236815,1
62,4008092.6,17.87413,14884.863,756650.0395,3.5835138e-06,0.063413758,1
62,4472136,20.079551,15344.428,742367.0733,3.718683e-06,0.065959473,1
62,4989904.7,22.506789,15782.897,727478.1206,3.8798362e-06,0.068924863,1
62,5567618.9,25.144607,16163.242,712312.6583,4.0702029e-06,0.072343124,1
62,6212218.8,27.966371,16443.955,697315.5686,4.2921489e-06,0.076215521,1
62,6931448.4,30.930228,16589.641,683019.917,4.546671e-06,0.080501887,1
62,7733948,33.983695,16583.023,669988.452,4.833173e-06,0.085123326,1
62,8629358.2,37.071855,16430.919,658741.5284,5.1497062e-06,0.089979539,1
62,9628435.9,40.145984,16160.138,649701.1801,5.4936116e-06,0.094974253,1
62,10743184,43.169269,15806.771,643171.3653,5.8622831e-06,0.1000376,1
62,11986993,46.118372,15405.901,639352.1875,6.2537711e-06,0.10513818,1
62,13374806,48.98186,14985.824,638371.638,6.6671196e-06,0.11028471,1
62,14923296,51.757265,14566.651,640318.936,7.1024831e-06,0.11552157,1
62,16651064,54.448134,14161.325,645271.1997,7.5611288e-06,0.12092271,1
62,18578868,57.061665,13777.389,653311.8068,8.0454129e-06,0.12658652,1
62,20729866,59.607033,13418.64,664541.9632,8.5587841e-06,0.13263277,1
62,23129899,62.094295,13086.407,679087.6793,9.1058417e-06,0.1392018,1
62,25807800,64.533712,12780.45,697103.9841,9.6924658e-06,0.14645552,1
62,28795740,66.935353,12499.571,718777.6359,1.0326032e-05,0.15471273,1
62,32129613,69.308862,12242.021,744329.1158,1.101573e-05,0.16398418,1
62,35849470,71.663352,12005.752,774014.371,1.1773014e-05,0.17455275,1
62,40000000,74.007341,11788.595,808126.5838,1.261223e-05,0.18672789,1
72,500000,1.7022349,10869.582,988855.5381,3.2535416e-06,0.052897387,1
72,557888.3,1.9016856,10909.493,987250.1845,3.2588961e-06,0.053129019,1
72,622478.71,2.1247997,10954.24,985459.0509,3.2649761e-06,0.053385356,1
72,694547.18,2.3744514,11004.425,983460.9026,3.2718925e-06,0.053668854,1
72,774959.49,2.6538779,11060.728,981232.212,3.2797754e-06,0.053982196,1
72,864681.67,2.9667272,11123.912,978746.9715,3.2887789e-06,0.054328322,1
72,964791.58,3.3171117,11194.835,975976.5181,3.2990857e-06,0.054710466,1
72,1076491.9,3.7096686,11274.456,972889.3843,3.310913e-06,0.05513221,1
72,1201124.4,4.1496268,11363.843,969451.1973,3.3245204e-06,0.055597557,1
72,1340186.5,4.6428798,11464.178,965624.6557,3.340219e-06,0.056111035,1
72,1495348.8,5.1960635,11576.754,961369.6278,3.3583826e-06,0.056677841,1
72,1668475.2,5.8166364,11702.97,956643.4284,3.3794617e-06,0.057304049,1
72,1861645.6,6.5129567,11844.31,951401.3531,3.4040004e-06,0.057996898,1
72,2077180.6,7.2943493,12002.298,945597.5738,3.4326564e-06,0.058765173,1
72,2317669.5,8.1711482,12178.434,939186.5271,3.4662252e-06,0.059619732,1
72,2586001.4,9.1546969,12374.084,932124.9597,3.505668e-06,0.060574166,1
72,2885399.8,10.257277,12590.309,924374.8287,3.5521421e-06,0.061645622,1
72,3219461.6,11.491927,12827.627,915907.2784,3.6070339e-06,0.062855724,1
