# Ignis real-fluid property table: methane
# generated 2026-09-17T08:54:19Z by tools/build_coolant_tables.py
# source: CoolProp 8.0.0 reference EOS for Methane
# units: T[K] p[Pa] rho[kg/m3] cp[J/(kg K)] h[J/kg] mu[Pa s] k[W/(m K)] valid[0/1]
# critical: Tc=190.564003 pc=4599200.474282 rhoc=162.660158 Ttriple=90.694100 M=0.016042800 acentric=0.011420
# saturation curve (p[Pa],Tsat[K]); NaN above the critical pressure
#sat 500000:135.35123 557888.3:137.36051 622478.71:139.4301 694547.18:141.56233 774959.49:143.75959 864681.67:146.02437 964791.58:148.35921 1076491.9:150.7667 1201124.4:153.24947 1340186.5:155.81019 1495348.8:158.45149 1668475.2:161.17599 1861645.6:163.98619 2077180.6:166.88439 2317669.5:169.87261 2586001.4:172.95237 2885399.8:176.12439 3219461.6:179.38813 3592199.9:182.74073 4008092.6:186.17472 4472136:189.66956 4989904.7:nan 5567618.9:nan 6212218.8:nan 6931448.4:nan 7733948:nan 8629358.2:nan 9628435.9:nan 10743184:nan 11986993:nan 13374806:nan 14923296:nan 16651064:nan 18578868:nan 20729866:nan 23129899:nan 25807800:nan 28795740:nan 32129613:nan 35849470:nan 40000000:nan
#grid nT=145 np=41
T,p,rho,cp,h,mu,k,valid
95,500000,446.04282,3381.2483,-56504.30397,0.00018061822,0.20642452,1
95,557888.3,446.08327,3380.8782,-56411.73941,0.00018074102,0.20647806,1
95,622478.71,446.12837,3380.4661,-56308.4425,0.00018087802,0.20653777,1
95,694547.18,446.17865,3380.0074,-56193.16697,0.00018103089,0.20660436,1
95,774959.49,446.23469,3379.4971,-56064.5213,0.00018120145,0.20667862,1
95,864681.67,446.29715,3378.9293,-55920.95182,0.00018139176,0.20676142,1
95,964791.58,446.36676,3378.298,-55760.72356,0.00018160409,0.20685373,1
95,1076491.9,446.44433,3377.5962,-55581.89905,0.000181841,0.20695665,1
95,1201124.4,446.53074,3376.8165,-55382.31437,0.00018210533,0.20707139,1
95,1340186.5,446.627,3375.9506,-55159.55257,0.00018240025,0.20719927,1
95,1495348.8,446.73421,3374.9894,-54910.9137,0.00018272931,0.2073418,1
95,1668475.2,446.85359,3373.9231,-54633.38136,0.00018309645,0.20750063,1
95,1861645.6,446.98648,3372.7411,-54323.58523,0.00018350607,0.20767761,1
95,2077180.6,447.13439,3371.4316,-53977.75899,0.00018396308,0.20787477,1
95,2317669.5,447.29895,3369.9822,-53591.69323,0.00018447298,0.20809438,1
95,2586001.4,447.48199,3368.3792,-53160.68262,0.00018504186,0.20833896,1
95,2885399.8,447.68551,3366.6082,-52679.46666,0.00018567656,0.20861127,1
95,3219461.6,447.91172,3364.6536,-52142.16319,0.00018638466,0.2089144,1
95,3592199.9,448.16305,3362.4992,-51542.19387,0.00018717465,0.20925176,1
95,4008092.6,448.44215,3360.1275,-50872.20042,0.00018805598,0.20962709,1
95,4472136,448.75193,3357.5205,-50123.95082,0.00018903919,0.21004457,1
95,4989904.7,449.09558,3354.6596,-49288.23389,0.00019013604,0.21050875,1
95,5567618.9,449.47656,3351.5256,-48354.74113,0.00019135961,0.21102469,1
95,6212218.8,449.89866,3348.0991,-47311.93417,0.00019272452,0.21159793,1
95,6931448.4,450.36597,3344.361,-46146.89618,0.00019424702,0.21223457,1
95,7733948,450.88291,3340.2925,-44845.16543,0.00019594523,0.21294129,1
95,8629358.2,451.45427,3335.876,-43390.54895,0.00019783934,0.21372543,1
95,9628435.9,452.0852,3331.0952,-41764.91419,0.00019995183,0.21459501,1
95,10743184,452.78119,3325.9361,-39947.95628,0.00020230769,0.21555878,1
95,11986993,453.54814,3320.3876,-37916.93855,0.00020493479,0.21662631,1
95,13374806,454.39227,3314.4423,-35646.40366,0.00020786407,0.21780802,1
95,14923296,455.32022,3308.0975,-33107.85249,0.00021112998,0.21911523,1
95,16651064,456.33895,3301.3559,-30269.38836,0.00021477078,0.22056024,1
95,18578868,nan,nan,nan,nan,nan,0
95,20729866,nan,nan,nan,nan,nan,0
95,23129899,nan,nan,nan,nan,nan,0
95,25807800,nan,nan,nan,nan,nan,0
