# Ignis real-fluid property table: oxygen
# generated 2026-09-17T07:22:34Z by tools/build_coolant_tables.py
# source: CoolProp 8.0.0 reference EOS for Oxygen
# units: T[K] p[Pa] rho[kg/m3] cp[J/(kg K)] h[J/kg] mu[Pa s] k[W/(m K)] valid[0/1]
# critical: Tc=154.599390 pc=5046410.521187 rhoc=426.934049 Ttriple=54.361000 M=0.031998800 acentric=0.022200
# saturation curve (p[Pa],Tsat[K]); NaN above the critical pressure
#sat 500000:108.80617 557888.3:110.38295 622478.71:112.00676 694547.18:113.67942 774959.49:115.40285 864681.67:117.179 964791.58:119.0099 1076491.9:120.89762 1201124.4:122.84428 1340186.5:124.85203 1495348.8:126.92302 1668475.2:129.0594 1861645.6:131.26328 2077180.6:133.53666 2317669.5:135.8814 2586001.4:138.29909 2885399.8:140.79089 3219461.6:143.35734 3592199.9:145.99788 4008092.6:148.70991 4472136:151.48654 4989904.7:154.30815 5567618.9:nan 6212218.8:nan 6931448.4:nan 7733948:nan 8629358.2:nan 9628435.9:nan 10743184:nan 11986993:nan 13374806:nan 14923296:nan 16651064:nan 18578868:nan 20729866:nan 23129899:nan 25807800:nan 28795740:nan 32129613:nan 35849470:nan 40000000:nan
#grid nT=95 np=41
T,p,rho,cp,h,mu,k,valid
60,500000,1282.6035,1672.3012,-183879.4136,0.00058040194,0.19414324,1
60,557888.3,1282.6732,1672.1718,-183843.5514,0.0005806723,0.19416669,1
60,622478.71,1282.7511,1672.0276,-183803.536,0.00058097399,0.19419286,1
60,694547.18,1282.8378,1671.867,-183758.8862,0.00058131067,0.19422205,1
60,774959.49,1282.9346,1671.688,-183709.0652,0.00058168639,0.19425461,1
60,864681.67,1283.0425,1671.4886,-183653.4738,0.00058210569,0.19429093,1
60,964791.58,1283.1629,1671.2666,-183591.4433,0.00058257364,0.19433145,1
60,1076491.9,1283.2971,1671.0194,-183522.2276,0.00058309589,0.19437664,1
60,1201124.4,1283.4467,1670.7442,-183444.9939,0.00058367876,0.19442705,1
60,1340186.5,1283.6134,1670.4379,-183358.813,0.00058432931,0.19448327,1
60,1495348.8,1283.7993,1670.0972,-183262.6475,0.00058505542,0.19454597,1
60,1668475.2,1284.0065,1669.7183,-183155.3399,0.0005858659,0.1946159,1
60,1861645.6,1284.2375,1669.297,-183035.5982,0.00058677059,0.19469388,1
60,2077180.6,1284.4948,1668.8288,-182901.9805,0.00058778049,0.19478084,1
60,2317669.5,1284.7815,1668.3088,-182752.8772,0.00058890791,0.1948778,1
60,2586001.4,1285.1008,1667.7314,-182586.4917,0.00059016657,0.1949859,1
60,2885399.8,1285.4564,1667.0908,-182400.8186,0.00059157188,0.19510641,1
60,3219461.6,1285.8525,1666.3804,-182193.6194,0.00059314102,0.19524075,1
60,3592199.9,1286.2933,1665.5931,-181962.395,0.00059489325,0.19539049,1
60,4008092.6,1286.784,1664.7215,-181704.3556,0.00059685012,0.19555736,1
60,4472136,1287.3299,1663.7571,-181416.3867,0.00059903576,0.19574331,1
60,4989904.7,1287.9371,1662.6913,-181095.0109,0.0006014772,0.19595048,1
60,5567618.9,1288.6123,1661.5144,-180736.3458,0.00060420474,0.19618126,1
60,6212218.8,1289.3628,1660.2166,-180336.0563,0.00060725237,0.19643828,1
60,6931448.4,1290.1966,1658.7871,-179889.3023,0.00061065822,0.19672448,1
60,7733948,1291.1226,1657.2148,-179390.6786,0.0006144651,0.19704307,1
60,8629358.2,1292.1504,1655.4882,-178834.1502,0.00061872113,0.19739764,1
60,9628435.9,1293.2906,1653.5954,-178212.9775,0.00062348038,0.19779213,1
60,10743184,1294.5546,1651.5244,-177519.6348,0.00062880376,0.19823088,1
60,11986993,1295.9551,1649.2629,-176745.7186,0.00063475987,0.19871868,1
60,13374806,1297.5056,1646.7992,-175881.8455,0.00064142605,0.19926077,1
60,14923296,1299.2208,1644.1219,-174917.5385,0.00064888965,0.19986293,1
60,16651064,1301.1166,1641.2203,-173841.1006,0.00065724942,0.20053144,1
60,18578868,1303.21,1638.085,-172639.4749,0.00066661713,0.20127318,1
60,20729866,1305.5192,1634.7083,-171298.0881,0.00067711949,0.20209562,1
60,23129899,1308.0637,1631.0843,-169800.6786,0.00068890036,0.20300687,1
60,25807800,1310.8639,1627.2099,-168129.1057,0.00070212331,0.20401567,1
60,28795740,1313.9418,1623.0851,-166263.1391,0.00071697468,0.20513142,1
60,32129613,1317.32,1618.7134,-164180.2272,0.00073366708,0.2063642,1
60,35849470,1321.0224,1614.1028,-161855.2428,0.00075244351,0.20772468,1
60,40000000,1325.0735,1609.2658,-159260.2033,0.00077358223,0.20922418,1
70,500000,1237.6692,1677.0403,-167122.6124,0.00037336293,0.1799557,1
70,557888.3,1237.7529,1676.9177,-167087.9211,0.00037354757,0.17998531,1
70,622478.71,1237.8462,1676.7812,-167049.2102,0.0003737536,0.18001834,1
70,694547.18,1237.9502,1676.6291,-167006.0134,0.00037398351,0.18005518,1
70,774959.49,1238.0662,1676.4598,-166957.8106,0.00037424007,0.18009627,1
70,864681.67,1238.1955,1676.2714,-166904.0208,0.00037452636,0.18014209,1
70,964791.58,1238.3397,1676.0617,-166843.9957,0.00037484584,0.18019319,1
70,1076491.9,1238.5004,1675.8285,-166777.0117,0.00037520236,0.18025018,1
70,1201124.4,1238.6796,1675.5692,-166702.2608,0.00037560022,0.18031373,1
70,1340186.5,1238.8792,1675.281,-166618.8408,0.00037604423,0.18038458,1
70,1495348.8,1239.1017,1674.9608,-166525.7448,0.00037653976,0.18046358,1
70,1668475.2,1239.3497,1674.6052,-166421.848,0.00037709278,0.18055165,1
70,1861645.6,1239.6259,1674.2106,-166305.8948,0.00037770999,0.18064982,1
70,2077180.6,1239.9335,1673.7729,-166176.4827,0.00037839887,0.18075924,1
70,2317669.5,1240.2761,1673.2878,-166032.0454,0.00037916775,0.18088119,1
70,2586001.4,1240.6575,1672.7504,-165870.8335,0.00038002597,0.18101707,1
70,2885399.8,1241.0821,1672.1557,-165690.8926,0.00038098396,0.18116847,1
70,3219461.6,1241.5545,1671.4982,-165490.0396,0.00038205336,0.18133712,1
70,3592199.9,1242.0801,1670.772,-165265.8349,0.0003832472,0.18152495,1
70,4008092.6,1242.6647,1669.9709,-165015.5526,0.00038458005,0.18173411,1
70,4472136,1243.3145,1669.0881,-164736.1464,0.0003860682,0.18196695,1
70,4989904.7,1244.0367,1668.1168,-164424.2113,0.0003877299,0.18222611,1
70,5567618.9,1244.8389,1667.0497,-164075.9409,0.00038958556,0.18251446,1
70,6212218.8,1245.7295,1665.8795,-163687.08,0.00039165804,0.18283521,1
70,6931448.4,1246.7178,1664.5985,-163252.8706,0.00039397296,0.18319186,1
70,7733948,1247.8138,1663.1993,-162767.992,0.00039655904,0.18358829,1
70,8629358.2,1249.0286,1661.6745,-162226.4939,0.0003994485,0.18402875,1
70,9628435.9,1250.3741,1660.017,-161621.7212,0.00040267751,0.18451789,1
70,10743184,1251.8631,1658.2205,-160946.2296,0.0004062867,0.18506082,1
70,11986993,1253.5096,1656.2794,-160191.6925,0.00041032178,0.18566311,1
70,13374806,1255.3288,1654.1892,-159348.7956,0.00041483416,0.18633085,1
70,14923296,1257.3366,1651.9471,-158407.1206,0.0004198818,0.18707061,1
70,16651064,1259.5504,1649.5521,-157355.0148,0.0004255301,0.18788957,1
70,18578868,1261.9884,1647.0056,-156179.4471,0.0004318529,0.18879543,1
70,20729866,1264.6702,1644.3119,-154865.8477,0.00043893377,0.18979652,1
70,23129899,1267.6162,1641.4785,-153397.9306,0.00044686737,0.19090172,1
70,25807800,1270.8479,1638.5169,-151757.4983,0.00045576117,0.19212054,1
70,28795740,1274.3877,1635.4428,-149924.2256,0.0004657373,0.19346305,1
70,32129613,1278.2587,1632.2769,-147875.4235,0.00047693492,0.19493986,1
70,35849470,1282.4848,1629.045,-145585.7788,0.0004895128,0.1965621,1
70,40000000,1287.0903,1625.7786,-143027.0709,0.00050365248,0.19834134,1
80,500000,1191.2954,1680.0736,-150343.8447,0.00026234777,0.16573397,1
80,557888.3,1191.3978,1679.8902,-150310.6452,0.00026248697,0.16577012,1
80,622478.71,1191.5119,1679.6861,-150273.5954,0.00026264229,0.16581044,1
80,694547.18,1191.6392,1679.4588,-150232.248,0.00026281558,0.1658554,1
80,774959.49,1191.781,1679.2059,-150186.1035,0.00026300893,0.16590554,1
80,864681.67,1191.9391,1678.9246,-150134.6041,0.00026322467,0.16596145,1
80,964791.58,1192.1154,1678.6118,-150077.1267,0.00026346537,0.16602379,1
80,1076491.9,1192.3117,1678.2641,-150012.9755,0.00026373394,0.16609329,1
80,1201124.4,1192.5306,1677.8777,-149941.3733,0.0002640336,0.16617077,1
80,1340186.5,1192.7744,1677.4486,-149861.4517,0.00026436795,0.16625713,1
80,1495348.8,1193.046,1676.9722,-149772.2405,0.000264741,0.16635338,1
80,1668475.2,1193.3484,1676.4437,-149672.6555,0.00026515723,0.16646065,1
80,1861645.6,1193.6852,1675.8578,-149561.4849,0.00026562164,0.16658017,1
80,2077180.6,1194.0601,1675.2087,-149437.3742,0.0002661398,0.16671332,1
80,2317669.5,1194.4773,1674.4902,-149298.8092,0.00026671795,0.16686164,1
80,2586001.4,1194.9415,1673.6954,-149144.0963,0.00026736303,0.16702682,1
80,2885399.8,1195.4578,1672.8173,-148971.3417,0.00026808278,0.16721073,1
80,3219461.6,1196.0318,1671.8481,-148778.4266,0.00026888587,0.16741546,1
80,3592199.9,1196.6699,1670.7796,-148562.9803,0.00026978194,0.1676433,1
80,4008092.6,1197.3787,1669.6033,-148322.3499,0.00027078178,0.16789679,1
80,4472136,1198.1658,1668.3101,-148053.5653,0.00027189741,0.16817872,1
80,4989904.7,1199.0394,1666.8909,-147753.3012,0.00027314229,0.16849218,1
80,5567618.9,1200.0085,1665.336,-147417.8334,0.00027453142,0.16884056,1
80,6212218.8,1201.0827,1663.6358,-147042.9902,0.00027608158,0.16922758,1
80,6931448.4,1202.2729,1661.7809,-146624.0973,0.00027781151,0.16965734,1
80,7733948,1203.5903,1659.762,-146155.9167,0.00027974217,0.1701343,1
80,8629358.2,1205.0476,1657.5702,-145632.5772,0.00028189701,0.17066334,1
80,9628435.9,1206.6582,1655.1977,-145047.4973,0.00028430227,0.17124981,1
80,10743184,1208.4365,1652.6377,-144393.298,0.00028698735,0.17189948,1
80,11986993,1210.3979,1649.8847,-143661.7063,0.00028998518,0.17261864,1
80,13374806,1212.5591,1646.9354,-142843.4462,0.00029333273,0.17341409,1
80,14923296,1214.9374,1643.7888,-141928.1183,0.00029707153,0.17429314,1
80,16651064,1217.5514,1640.4468,-140904.0651,0.00030124824,0.17526365,1
80,18578868,1220.4206,1636.9145,-139758.2222,0.00030591543,0.17633404,1
80,20729866,1223.5653,1633.2011,-138475.9526,0.00031113236,0.17751326,1
80,23129899,1227.0068,1629.3201,-137040.8649,0.00031696597,0.17881081,1
80,25807800,1230.7669,1625.2899,-135434.6124,0.000323492,0.18023669,1
80,28795740,1234.8682,1621.134,-133636.6727,0.00033079629,0.1818014,1
80,32129613,1239.3336,1616.8817,-131624.1072,0.00033897638,0.18351586,1
80,35849470,1244.1862,1612.5681,-129371.2974,0.00034814329,0.18539137,1
80,40000000,1249.4493,1608.2339,-126849.6589,0.00035842369,0.18743952,1
90,500000,1142.9935,1696.8061,-133474.5841,0.00019643965,0.15134957,1
90,557888.3,1143.1215,1696.5129,-133443.7193,0.00019655463,0.15139317,1
90,622478.71,1143.2643,1696.1866,-133409.2683,0.0001966829,0.15144179,1
90,694547.18,1143.4233,1695.8236,-133370.8128,0.00019682599,0.151496,1
90,774959.49,1143.6006,1695.4199,-133327.8852,0.00019698561,0.15155643,1
90,864681.67,1143.7982,1694.9711,-133279.9632,0.00019716367,0.1516238,1
90,964791.58,1144.0183,1694.4724,-133226.4626,0.0001973623,0.1516989,1
90,1076491.9,1144.2634,1693.9185,-133166.7303,0.00019758385,0.1517826,1
90,1201124.4,1144.5365,1693.3037,-133100.0358,0.00019783097,0.15187588,1
90,1340186.5,1144.8405,1692.6215,-133025.562,0.0001981066,0.15197981,1
90,1495348.8,1145.179,1691.8651,-132942.3947,0.00019841402,0.1520956,1
90,1668475.2,1145.5557,1691.027,-132849.5105,0.00019875688,0.15222458,1
90,1861645.6,1145.9748,1690.0991,-132745.7637,0.00019913925,0.15236821,1
90,2077180.6,1146.441,1689.0728,-132629.8715,0.00019956567,0.15252814,1
90,2317669.5,1146.9594,1687.9385,-132500.3963,0.00020004117,0.15270618,1
90,2586001.4,1147.5356,1686.6864,-132355.7276,0.00020057138,0.15290431,1
90,2885399.8,1148.1758,1685.3057,-132194.0597,0.00020116256,0.15312475,1
90,3219461.6,1148.8867,1683.7853,-132013.3674,0.00020182168,0.15336992,1
90,3592199.9,1149.6758,1682.1133,-131811.3788,0.0002025565,0.15364252,1
90,4008092.6,1150.5512,1680.2776,-131585.5443,0.00020337566,0.1539455,1
90,4472136,1151.5217,1678.2655,-131333.001,0.00020428877,0.15428209,1
90,4989904.7,1152.597,1676.0643,-131050.5335,0.00020530653,0.15465586,1
90,5567618.9,1153.7875,1673.6612,-130734.5289,0.00020644086,0.15507071,1
90,6212218.8,1155.1045,1671.0435,-130380.9266,0.00020770501,0.1555309,1
90,6931448.4,1156.5602,1668.1992,-129985.1612,0.00020911375,0.15604106,1
