# units: performance.altitude[m] performance.thrust[N] performance.thrust_momentum[N] performance.thrust_pressure[N] performance.isp[s] performance.cf[-] performance.exit_pressure[Pa] performance.pressure_ratio[-] performance.exit_mach[-] status[-]
performance.altitude,performance.thrust,performance.thrust_momentum,performance.thrust_pressure,performance.isp,performance.cf,performance.exit_pressure,performance.pressure_ratio,performance.exit_mach,status
0,103149.5575,165721.3634,-61765.41146,218.9598145,1.218312575,12161.54833,0.1200251501,3.973941466,ok
1000,111080.3247,165721.3634,-53834.64423,235.7947808,1.311983878,12161.54833,0.1353143191,3.973941466,ok
2000,118267.2103,165721.3634,-46647.75859,251.050679,1.396869101,12161.54833,0.1529727094,3.973941466,ok
3000,124765.1168,165721.3634,-40149.85214,264.8440526,1.473616702,12161.54833,0.1734362059,3.973941466,ok
4000,130626.0354,165721.3634,-34288.93351,277.285266,1.542840759,12161.54833,0.1972341993,3.973941466,ok
5000,135899.1385,165721.3634,-29015.83045,288.4786991,1.605122052,12161.54833,0.2250126544,3.973941466,ok
6000,140630.87,165721.3634,-24284.09891,298.5229406,1.661009137,12161.54833,0.2575636498,3.973941466,ok
7000,144865.0359,165721.3634,-20049.933,307.5109789,1.71101941,12161.54833,0.2958634412,3.973941466,ok
8000,148642.893,165721.3634,-16272.07594,315.5303917,1.755640161,12161.54833,0.3411218196,3.973941466,ok
9000,152003.2371,165721.3634,-12911.73186,322.6635325,1.795329614,12161.54833,0.3948465522,3.973941466,ok
10000,154982.4903,165721.3634,-9932.478601,328.9877161,1.830517954,12161.54833,0.4589281161,3.973941466,ok
11000,157614.7875,165721.3634,-7300.181481,334.5754017,1.861608351,12161.54833,0.5357519543,3.973941466,ok
12000,159901.1222,165721.3634,-5013.846735,339.4286986,1.888612542,12161.54833,0.6269017565,3.973941466,ok
13000,161854.4734,165721.3634,-3060.495585,343.5751576,1.911683822,12161.54833,0.7335237083,3.973941466,ok
14000,163523.4095,165721.3634,-1391.559441,347.1178771,1.931395839,12161.54833,0.8582373462,3.973941466,ok
15000,164949.4129,165721.3634,34.44391997,350.1449131,1.948238547,12161.54833,1.004105296,3.973941466,ok
16000,166167.9052,165721.3634,1252.936249,352.731457,1.962630315,12161.54833,1.17470742,3.973941466,ok
17000,167209.1347,165721.3634,2294.165743,354.9417177,1.974928409,12161.54833,1.374227963,3.973941466,ok
18000,168098.9329,165721.3634,3183.963946,356.830529,1.985437929,12161.54833,1.607557352,3.973941466,ok
19000,168859.3607,165721.3634,3944.391734,358.4447204,1.994419439,12161.54833,1.880411101,3.973941466,ok
20000,169509.2596,165721.3634,4594.290652,359.8242876,2.002095478,12161.54833,2.19946868,3.973941466,ok
21000,170063.6926,165721.3634,5148.723625,361.0012053,2.008643956,12161.54833,2.571726948,3.973941466,ok
22000,170535.7421,165721.3634,5620.773118,362.0032442,2.014219393,12161.54833,3.004706179,3.973941466,ok
23000,170937.9591,165721.3634,6022.990119,362.8570468,2.018970029,12161.54833,3.507936527,3.973941466,ok
24000,171280.9391,165721.3634,6365.970155,363.5851047,2.02302101,12161.54833,4.092390475,3.973941466,ok
25000,171573.6303,165721.3634,6658.661351,364.2064123,2.026478023,12161.54833,4.77068831,3.973941466,ok
26000,171823.5956,165721.3634,6908.62669,364.7370241,2.029430396,12161.54833,5.557335751,3.973941466,ok
27000,172037.2325,165721.3634,7122.263555,365.1905198,2.031953688,12161.54833,6.468994437,3.973941466,ok
