# units: chamber.pressure[Pa] chamber.temperature[K] chamber.c_star_ideal[m/s] performance.isp[s] performance.isp_vacuum[s] performance.thrust[N] performance.mdot[kg/s] cooling.max_wall_temperature[K] cooling.max_heat_flux[W/m^2] cooling.pressure_drop[Pa] cooling.outlet_temperature[K] status[-]
chamber.pressure,chamber.temperature,chamber.c_star_ideal,performance.isp,performance.isp_vacuum,performance.thrust,performance.mdot,cooling.max_wall_temperature,cooling.max_heat_flux,cooling.pressure_drop,cooling.outlet_temperature,status
2000000,3390.436467,1815.452448,168.3272415,348.4016711,29160.49684,17.66525201,676.0564226,23770868.33,317448.1097,465.6251295,ok
2500000,3419.762214,1820.056405,204.5617752,348.9866515,44185.01843,22.02570819,678.8343072,28386378.21,470454.9206,450.0112257,ok
3000000,3443.787796,1823.783562,228.850917,349.4514446,59196.49729,26.37683468,682.6217114,32778929.47,649541.0584,437.1880307,ok
3500000,3464.137418,1826.909084,246.2859953,349.8350305,74196.97873,30.72032661,686.9491739,36989002.04,854374.3575,426.272698,ok
4000000,3481.785945,1829.596508,259.4215887,350.160277,89187.94933,35.05737452,691.5929692,41045830.26,1085190.49,416.7447406,ok
4500000,3497.364975,1831.950901,269.6813036,350.4417073,104170.5406,39.38885928,696.4044573,44969962.28,1342601.888,408.257889,ok
5000000,3511.307341,1834.04374,277.9216997,350.6890984,119145.6437,43.71545824,701.2965362,48778288.25,1627728.437,400.5711002,ok
5500000,3523.922717,1835.92583,284.689268,350.9093338,134113.9792,48.0377079,706.215311,52483658.28,1940782.322,393.543692,ok
6000000,3535.440366,1837.634567,290.349212,351.1074355,149076.1422,52.35604332,711.1346774,56096594.46,2284259.576,387.013527,ok
6500000,3546.034791,1839.198263,295.1549365,351.2871743,164032.6326,56.67082412,717.0767795,59625925.74,2661220.651,380.8690317,ok
7000000,3555.841911,1840.63886,299.2878324,351.4514512,178983.8763,60.98235237,728.7945878,63079048.92,3075643.096,375.0231066,ok
7500000,3564.969669,1841.973706,302.881191,351.6025427,193930.2408,65.29088519,740.0655394,66460950.48,3528689.03,369.4450282,ok
8000000,3573.505219,1843.216751,306.0351758,351.7422674,208872.0461,69.59664399,750.9054275,69778474.75,4030685.974,363.9941394,ok
8500000,3581.519953,1844.379374,308.8265259,351.8720992,223809.5737,73.89982135,761.4787609,73036529.78,4590030.804,358.6378507,ok
9000000,3589.073085,1845.47098,311.3150352,351.9932492,238743.0732,78.20058622,771.6652048,76236854.09,5220734.068,353.2623486,ok
9500000,3596.214272,1846.499429,313.5479918,352.1067233,253672.7672,82.49908794,781.5492062,79385817.44,5947372.699,347.7821881,ok
10000000,3602.985573,1847.471354,315.5632904,352.2133663,268598.8556,86.79545948,791.105047,82484573.27,6820879.904,341.9537325,ok
10500000,3609.422918,1848.392405,317.3916578,352.3138937,283521.5188,91.08981989,800.4087569,85537405.49,7959152.766,335.3253733,ok
11000000,3615.55725,1849.267434,319.0582747,352.408917,298440.9207,95.38227638,809.5003154,88545738.51,9969851.288,325.7270549,ok
11500000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,failed
12000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,failed
