# units: cooling.channel_height[m] cooling.wall_thickness[m] cooling.max_wall_temperature[K] cooling.max_heat_flux[W/m^2] cooling.pressure_drop[Pa] cooling.outlet_temperature[K] cooling.total_heat_load[W] cooling.energy_balance_residual[-] performance.isp[s] status[-]
cooling.channel_height,cooling.wall_thickness,cooling.max_wall_temperature,cooling.max_heat_flux,cooling.pressure_drop,cooling.outlet_temperature,cooling.total_heat_load,cooling.energy_balance_residual,performance.isp,status
0.002,0.0004,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0005,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0006,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0007,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0008,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0009,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.001,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0011,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0012,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0013,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0014,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0015,nan,nan,nan,nan,nan,nan,nan,failed
0.002,0.0016,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0004,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0005,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0006,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0007,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0008,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0009,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.001,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0011,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0012,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0013,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0014,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0015,nan,nan,nan,nan,nan,nan,nan,failed
0.0025,0.0016,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0004,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0005,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0006,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0007,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0008,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0009,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.001,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0011,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0012,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0013,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0014,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0015,nan,nan,nan,nan,nan,nan,nan,failed
0.003,0.0016,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0004,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0005,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0006,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0007,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0008,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0009,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.001,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0011,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0012,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0013,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0014,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0015,nan,nan,nan,nan,nan,nan,nan,failed
0.0035,0.0016,nan,nan,nan,nan,nan,nan,nan,failed
0.004,0.0004,746.9423969,51094094.11,6598486.901,496.6370595,14884295.47,1.583554204e-09,284.689268,ok
0.004,0.0005,756.9051596,50771199.46,6566453.903,495.5207096,14846715.15,9.480208899e-10,284.689268,ok
0.004,0.0006,768.4959992,50454113.03,6535042.253,494.415717,14809518.8,5.119413227e-10,284.689268,ok
0.004,0.0007,779.9982288,50142656.34,6504235.8,493.3218553,14772698.81,2.353517087e-10,284.689268,ok
0.004,0.0008,791.3489744,49836658.57,6473741.091,492.2392616,14736250.37,8.0538063e-11,284.689268,ok
0.004,0.0009,802.551868,49535956.96,6443758.755,491.1674103,14700163.19,4.871378421e-09,284.689268,ok
0.004,0.001,813.6104213,49240395.64,6413843.805,490.1064616,14664427.88,3.470589546e-09,284.689268,ok
0.004,0.0011,824.5280471,48949824.93,6384354.179,489.0558817,14629039.33,2.204596629e-09,284.689268,ok
0.004,0.0012,835.3080345,48664101.22,6355403.248,488.0166842,14593989.21,8.351815517e-09,284.689268,ok
0.004,0.0013,845.9535435,48383086.55,6326814.756,486.9888068,14559274.64,4.890134888e-11,284.689268,ok
0.004,0.0014,856.4676831,48106648.54,6298678.351,485.9706518,14524887.99,1.555958678e-10,284.689268,ok
0.004,0.0015,866.931786,47834661.36,6271009.582,484.9619792,14490822.1,3.511404927e-10,284.689268,ok
