# units: nozzle.expansion_ratio[-] performance.altitude[m] performance.isp[s] performance.isp_vacuum[s] performance.thrust[N] performance.cf[-] performance.exit_pressure[Pa] performance.exit_mach[-] performance.pressure_ratio[-] status[-]
nozzle.expansion_ratio,performance.altitude,performance.isp,performance.isp_vacuum,performance.thrust,performance.cf,performance.exit_pressure,performance.exit_mach,performance.pressure_ratio,status
3,0,281.0934746,291.0264845,132420.0406,1.564029983,411101.0828,2.310827197,4.057252235,ok
3,10000,288.4286681,291.0264845,135875.5694,1.604843675,411101.0828,2.310827197,15.51330804,ok
3,30000,290.9091381,291.0264845,137044.0915,1.618645238,411101.0828,2.310827197,343.4337647,ok
3,80000,291.0263813,291.0264845,137099.3235,1.619297591,411101.0828,2.310827197,390604.671,ok
3.297613224,0,284.0411607,294.9595689,133808.663,1.58043118,360978.4246,2.376222406,3.56258006,ok
3.297613224,10000,292.1040377,294.9595689,137606.9956,1.62529377,360978.4246,2.376222406,13.6218797,ok
3.297613224,30000,294.8305812,294.9595689,138891.4402,1.640464509,360978.4246,2.376222406,301.5613058,ok
3.297613224,80000,294.9594555,294.9595689,138952.1515,1.641181578,360978.4246,2.376222406,342980.9959,ok
3.624750992,0,286.7549242,298.7564867,135087.0871,1.59553081,317415.8887,2.439899811,3.132651257,ok
3.624750992,10000,295.6176741,298.7564867,139262.231,1.644843966,317415.8887,2.439899811,11.9780041,ok
3.624750992,30000,298.6147028,298.7564867,140674.0982,1.66151971,317415.8887,2.439899811,265.1691718,ok
3.624750992,80000,298.756362,298.7564867,140740.8323,1.662307915,317415.8887,2.439899811,301590.3726,ok
3.984342268,0,289.234869,302.4270394,136255.3618,1.609329451,279449.9204,2.502057224,2.757956283,ok
3.984342268,10000,298.9768428,302.4270394,140844.6984,1.663534691,279449.9204,2.502057224,10.54532055,ok
3.984342268,30000,302.27119,302.4270394,142396.629,1.681864742,279449.9204,2.502057224,233.4524092,ok
3.984342268,80000,302.4269024,302.4270394,142469.9835,1.68273114,279449.9204,2.502057224,265517.2871,ok
4.379606584,0,291.4787714,305.9796632,137312.4395,1.621814731,246282.3641,2.562861161,2.430617953,ok
4.379606584,10000,302.1871919,305.9796632,142357.0585,1.681397369,246282.3641,2.562861161,9.29370984,ok
4.379606584,30000,305.8083528,305.9796632,144062.9475,1.701545841,246282.3641,2.562861161,205.7442392,ok
4.379606584,80000,305.9795126,305.9796632,144143.579,1.70249819,246282.3641,2.562861161,234003.3773,ok
4.814082862,0,293.4822281,309.4216723,138256.2459,1.632962148,217246.3883,2.622455082,2.144055153,ok
4.814082862,10000,305.2529711,309.4216723,143801.3133,1.698455646,217246.3883,2.622455082,8.19800843,ok
4.814082862,30000,309.2333671,309.4216723,145676.434,1.720602937,217246.3883,2.622455082,181.4875906,ok
4.814082862,80000,309.4215067,309.4216723,145765.0645,1.721649763,217246.3883,2.622455082,206415.0585,ok
5.291661103,0,295.2387389,312.7594462,139083.7188,1.642735536,191780.8726,2.680966117,1.892730052,ok
5.291661103,10000,308.1771915,312.7594462,145178.8813,1.714726278,191780.8726,2.680966117,7.237041876,ok
5.291661103,30000,312.5524603,312.7594462,147240.0223,1.739070677,191780.8726,2.680966117,160.2137037,ok
5.291661103,80000,312.7592642,312.7594462,147337.4453,1.740221353,191780.8726,2.680966117,182219.1859,ok
5.81661721,0,296.7397374,315.9985761,139790.8227,1.65108723,169410.785,2.738510924,1.671954453,ok
5.81661721,10000,310.9617415,315.9985761,146490.6522,1.730219771,169410.785,2.738510924,6.392884384,ok
5.81661721,30000,315.7710564,315.9985761,148756.2674,1.756979242,169410.785,2.738510924,141.5257369,ok
5.81661721,80000,315.9983761,315.9985761,148863.3553,1.758244069,169410.785,2.738510924,160964.4117,ok
6.393651277,0,297.9745812,319.1439816,140372.544,1.657958015,149731.9033,2.795201127,1.477738992,ok
6.393651277,10000,313.6074708,319.1439816,147737.0261,1.744940852,149731.9033,2.795201127,5.650282221,ok
6.393651277,30000,318.8938909,319.1439816,150227.4004,1.774354981,149731.9033,2.795201127,125.086003,ok
6.393651277,80000,319.1437617,319.1439816,150345.1118,1.775745285,149731.9033,2.795201127,142266.667,ok
7.027929667,0,298.9305077,322.2000059,140822.8704,1.663276878,132398.7456,2.851148481,1.306674025,ok
7.027929667,10000,316.1142489,322.2000059,148917.9417,1.758888796,132398.7456,2.851148481,4.996198282,ok
7.027929667,30000,321.9251051,322.2000059,151655.3721,1.791220936,132398.7456,2.851148481,110.6058863,ok
7.027929667,80000,322.1997642,322.2000059,151784.7609,1.792749164,132398.7456,2.851148481,125797.6946,ok
7.725131269,0,299.5925609,325.1704959,141134.7564,1.666960603,117114.9145,2.906469685,1.15583434,ok
7.725131269,10000,318.481005,325.1704959,150032.8944,1.772057645,117114.9145,2.906469685,4.419447722,ok
7.725131269,30000,324.8683237,325.1704959,153041.8899,1.807597275,117114.9145,2.906469685,97.83777681,ok
7.725131269,80000,325.1702303,325.1704959,153184.1148,1.809277111,117114.9145,2.906469685,111275.8748,ok
8.491498343,0,299.9434919,328.0588708,141300.0761,1.668913215,103625.2816,2.961290424,1.022702014,ok
8.491498343,10000,320.7057528,328.0588708,151080.9486,1.784436347,103625.2816,2.961290424,3.910403016,ok
8.491498343,30000,327.7267218,328.0588708,154388.4498,1.823501665,103625.2816,2.961290424,86.56854013,ok
8.491498343,80000,328.0585788,328.0588708,154544.784,1.825348148,103625.2816,2.961290424,98458.79936,ok
9.333892409,0,299.9636349,330.8681834,141309.5653,1.669025293,91709.59014,3.015747939,0.9051032829,ok
9.333892409,10000,322.7856037,330.8681834,152060.7435,1.796008829,91709.59014,3.015747939,3.460752553,ok
9.333892409,30000,330.5030838,330.8681834,155696.3633,1.838949599,91709.59014,3.015747939,76.6141738,ok
9.333892409,80000,330.8678624,330.8681834,155868.2065,1.840979261,91709.59014,3.015747939,87137.19273,ok
10.25985568,0,299.6307601,333.601176,141152.7516,1.667173147,81177.16376,3.06999128,0.8011563164,ok
10.25985568,10000,324.7167688,333.601176,152970.4941,1.80675401,81177.16376,3.06999128,3.063300973,ok
10.25985568,30000,333.1998569,333.601176,156966.7834,1.853954693,81177.16376,3.06999128,67.81538685,ok
10.25985568,80000,333.6008232,333.601176,157155.6743,1.856185706,81177.16376,3.06999128,77129.88525,ok
11.27767859,0,298.9199015,336.2603324,140817.8739,1.663217864,71862.4887,3.124178518,0.709227621,ok
11.27767859,10000,326.4945528,336.2603324,153807.9885,1.816645763,71862.4887,3.124178518,2.71180245,ok
11.27767859,30000,335.8192006,336.2603324,158200.7274,1.868528963,71862.4887,3.124178518,60.03390911,ok
11.27767859,80000,336.2599445,336.2603324,158408.357,1.870981302,71862.4887,3.124178518,68279.61523,ok
12.39647402,0,297.8031599,338.8479262,140291.7893,1.657004211,63621.49681,3.178470771,0.6278953547,ok
12.39647402,10000,328.1133382,338.8479262,154570.5805,1.825652835,63621.49681,3.178470771,2.400820429,ok
12.39647402,30000,338.3630322,338.8479262,159399.0985,1.882683076,63621.49681,3.178470771,53.14938609,ok
12.39647402,80000,338.8474998,338.8479262,159627.3259,1.885378699,63621.49681,3.178470771,60449.49739,ok
