# units: mixture_ratio[-] temperature[K] molar_mass[kg/mol] c_star_ideal[m/s] X_H2[-] X_H[-] X_O[-] X_O2[-] X_OH[-] X_H2O[-] X_HO2[-] X_H2O2[-]
mixture_ratio,temperature,molar_mass,c_star_ideal,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2
3,2450.06636,0.00805436608,2424.708341,0.6202939499,0.00213419557,5.792996308e-07,1.452253001e-07,0.0002537188964,0.3773174026,1.594207394e-09,6.908184982e-09
3.2,2561.774405,0.008450589687,2427.26192,0.5941595649,0.003406801642,1.91076976e-06,5.277881486e-07,0.0005117642983,0.401919407,5.782090329e-09,1.779909894e-08
3.4,2666.755366,0.008843596865,2427.546765,0.5677858274,0.005083653879,5.422725853e-06,1.648538112e-06,0.0009454609676,0.4261779275,1.796031079e-08,4.098864113e-08
3.6,2764.922199,0.009232698885,2425.784992,0.5412138907,0.007163147103,1.355485572e-05,4.531783509e-06,0.001621609653,0.4499831311,4.893781588e-08,8.581445397e-08
3.8,2856.284305,0.009617268531,2422.156964,0.514517422,0.009609866128,3.041857706e-05,1.117847775e-05,0.00261077828,0.4732200516,1.192823851e-07,1.656287238e-07
4,2940.940621,0.009996759646,2416.825297,0.4877973151,0.01235916399,6.225905165e-05,2.514084406e-05,0.003981715101,0.4957738434,2.643175204e-07,2.981183262e-07
4.2,3019.058707,0.01037070833,2409.947689,0.4611744104,0.01532481919,0.0001177518529,5.2240634e-05,0.005795979605,0.5175337535,5.396489735e-07,5.052100729e-07
4.4,3090.84914,0.01073872126,2401.680305,0.4347820159,0.01840771432,0.0002080383637,0.0001013968503,0.008103256043,0.5383957396,1.026488853e-06,8.125201614e-07
4.6,3156.542282,0.01110045796,2392.175215,0.4087593017,0.02150408236,0.0003464349283,0.0001855029358,0.01093751177,0.5582640822,1.835862257e-06,1.248337974e-06
4.8,3216.371243,0.01145561257,2381.575631,0.3832459036,0.02451259218,0.0005477861074,0.0003222632627,0.01431402387,0.5770524782,3.110666307e-06,1.842158541e-06
5,3270.56218,0.01180389925,2370.011738,0.3583775938,0.02734007396,0.0008274718754,0.0005348661443,0.01822730743,0.5946850394,5.02453793e-06,2.622811032e-06
5.2,3319.331313,0.01214504318,2357.598599,0.3342826744,0.02990594136,0.001200125836,0.0008523430498,0.02265006198,0.6110974605,7.77664394e-06,3.616282799e-06
5.4,3362.8872,0.01247877816,2344.436499,0.3110787636,0.03214541757,0.001678176881,0.001309454005,0.0275333271,0.6262384356,1.158191098e-05,4.843408019e-06
5.6,3401.436419,0.01280485034,2330.613375,0.2888697814,0.03401161834,0.002270382439,0.001945962075,0.03280804402,0.6400712371,1.665689552e-05,6.317662301e-06
5.8,3435.190768,0.01312302721,2316.208604,0.267743124,0.03547647994,0.002980561459,0.002805225902,0.03838812532,0.6525752377,2.320238825e-05,8.0433545e-06
6,3464.374199,0.01343310975,2301.29724,0.2477671858,0.03653050134,0.003806739893,0.003932147188,0.04417494407,0.6637470824,3.138475969e-05,1.001450676e-05
6.2,3489.22801,0.01373494569,2285.953785,0.2289895015,0.03718132271,0.004740876628,0.00537064078,0.0500629092,0.6736012158,4.131869778e-05,1.221464507e-05
6.4,3510.013275,0.01402844126,2270.254724,0.2114357936,0.03745127365,0.00576924472,0.007160913996,0.05594556786,0.6821695345,5.305408521e-05,1.46175881e-05
6.6,3527.0101,0.01431356946,2254.279388,0.1951101359,0.03737415674,0.006873422042,0.00933690922,0.06172154484,0.6895000729,6.65691825e-05,1.718915099e-05
6.8,3540.513911,0.01459037347,2238.10911,0.1799962907,0.03699163426,0.008031731397,0.01192425235,0.06729964541,0.6956547852,8.177113045e-05,1.988951998e-05
7,3550.829501,0.01485896472,2221.825085,0.1660600933,0.03634962082,0.009220897002,0.0149389585,0.07260261128,0.7007066398,9.850339471e-05,2.267595061e-05
7.2,3558.263857,0.01511951632,2205.505585,0.1532526111,0.03549503983,0.01041767087,0.01838700268,0.07756927853,0.704736333,0.0001165585622,2.550542253e-05
7.4,3563.118826,0.01537225303,2189.223217,0.1415137138,0.03447319451,0.01160022563,0.02226471133,0.08215516374,0.7078289599,0.0001356941882,2.833694415e-05
7.6,3565.68452,0.01561743923,2173.042744,0.1307756869,0.03332587065,0.01274918815,0.02655981071,0.08633172619,0.7100709348,0.0001556492932,3.113331179e-05
7.8,3566.23405,0.01585536667,2157.019749,0.1209665824,0.03209016495,0.01384827335,0.03125290467,0.09008467996,0.7115473729,0.0001761595181,3.386225136e-05
8,3565.01984,0.01608634286,2141.200155,0.1120130969,0.03079794381,0.01488454691,0.03631914733,0.09341175686,0.7123400416,0.0001969696261,3.649697504e-05
