# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
0,101325,134113.9792,134870.5393,155479.953,-20609.41365,284.689268,286.2952493,1.584037308,34384.38661,0.3393475116,3.459541588,3236.623056,1,0,over-expanded
500,95461.2895,135919.2754,136675.8355,155479.953,-18804.11744,288.5214446,290.1274259,1.605359892,34384.38661,0.3601919353,3.459541588,3236.623056,1,0,over-expanded
1000,89876.28519,137638.7647,138395.3248,155479.953,-17084.62821,292.1714753,293.7774566,1.625668999,34384.38661,0.3825746307,3.459541588,3236.623056,1,0,over-expanded
1500,84559.67669,139275.6212,140032.1814,155479.953,-15447.77163,295.6460981,297.2520795,1.645002121,34384.38661,0.4066286433,3.459541588,3236.623056,0,0,over-expanded
2000,79501.42464,140832.9361,141589.4962,155479.953,-13890.45681,298.9518745,300.5578558,1.663395764,34384.38661,0.4325002573,3.459541588,3236.623056,0,0,over-expanded
2500,74691.75647,142313.7178,143070.278,155479.953,-12409.67503,302.0951909,303.7011722,1.680885467,34384.38661,0.460350489,3.459541588,3236.623056,0,0,over-expanded
3000,70121.16224,143720.8945,144477.4546,155479.953,-11002.49839,305.0822627,306.688244,1.697505809,34384.38661,0.4903567699,3.459541588,3236.623056,0,0,over-expanded
3500,65780.39049,145057.3143,145813.8744,155479.953,-9666.078604,307.9191361,309.5251174,1.713290434,34384.38661,0.5227148449,3.459541588,3236.623056,0,0,over-expanded
4000,61660.44413,146325.7472,147082.3073,155479.953,-8397.645667,310.6116909,312.2176722,1.728272057,34384.38661,0.5576409171,3.459541588,3236.623056,0,0,over-expanded
4500,57752.57626,147528.8862,148285.4464,155479.953,-7194.506627,313.1656437,314.771625,1.742482486,34384.38661,0.595374074,3.459541588,3236.623056,0,0,over-expanded
5000,54048.28615,148669.3486,149425.9087,155479.953,-6054.044306,315.5865501,317.1925314,1.755952632,34384.38661,0.6361790367,3.459541588,3236.623056,0,0,over-expanded
5500,50539.3151,149749.6768,150506.2369,155479.953,-4973.716057,317.8798073,319.4857886,1.768712526,34384.38661,0.6803492794,3.459541588,3236.623056,0,0,over-expanded
6000,47217.64248,150772.3404,151528.9005,155479.953,-3951.052509,320.0506574,321.6566387,1.780791336,34384.38661,0.7282105758,3.459541588,3236.623056,0,0,over-expanded
6500,44075.48158,151739.7365,152496.2966,155479.953,-2983.656331,322.1041891,323.7101704,1.792217375,34384.38661,0.780125035,3.459541588,3236.623056,0,0,over-expanded
