# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
0,101325,103149.5575,103955.9519,165721.3634,-61765.41146,218.9598145,220.6715812,1.218312575,12161.54833,0.1200251501,3.973941466,3449.818291,1,0,over-expanded
500,95461.2895,107211.4739,108017.8684,165721.3634,-57703.495,227.5822119,229.2939786,1.266288388,12161.54833,0.1273976959,3.973941466,3449.818291,1,0,over-expanded
1000,89876.28519,111080.3247,111886.7192,165721.3634,-53834.64423,235.7947808,237.5065475,1.311983878,12161.54833,0.1353143191,3.973941466,3449.818291,1,0,over-expanded
1500,84559.67669,114763.252,115569.6465,165721.3634,-50151.71692,243.6126823,245.324449,1.355483402,12161.54833,0.143822077,3.973941466,3449.818291,1,0,over-expanded
2000,79501.42464,118267.2103,119073.6048,165721.3634,-46647.75859,251.050679,252.7624457,1.396869101,12161.54833,0.1529727094,3.973941466,3449.818291,1,0,over-expanded
2500,74691.75647,121598.9694,122405.3638,165721.3634,-43315.99957,258.1231411,259.8349078,1.436220931,12161.54833,0.1628231669,3.973941466,3449.818291,1,0,over-expanded
3000,70121.16224,124765.1168,125571.5113,165721.3634,-40149.85214,264.8440526,266.5558194,1.473616702,12161.54833,0.1734362059,3.973941466,3449.818291,1,0,over-expanded
3500,65780.39049,127772.0613,128578.4558,165721.3634,-37142.90762,271.2270176,272.9387844,1.509132107,12161.54833,0.1848810601,3.973941466,3449.818291,1,0,over-expanded
4000,61660.44413,130626.0354,131432.4299,165721.3634,-34288.93351,277.285266,278.9970328,1.542840759,12161.54833,0.1972341993,3.973941466,3449.818291,1,0,over-expanded
4500,57752.57626,133333.0983,134139.4927,165721.3634,-31581.87067,283.0316598,284.7434266,1.574814224,12161.54833,0.2105801874,3.973941466,3449.818291,1,0,over-expanded
5000,54048.28615,135899.1385,136705.5329,165721.3634,-29015.83045,288.4786991,290.1904658,1.605122052,12161.54833,0.2250126544,3.973941466,3449.818291,1,0,over-expanded
5500,50539.3151,138329.877,139136.2715,165721.3634,-26585.09189,293.638528,295.3502947,1.633831815,12161.54833,0.2406354005,3.973941466,3449.818291,1,0,over-expanded
6000,47217.64248,140630.87,141437.2645,165721.3634,-24284.09891,298.5229406,300.2347073,1.661009137,12161.54833,0.2575636498,3.973941466,3449.818291,1,0,over-expanded
6500,44075.48158,142807.5114,143613.9059,165721.3634,-22107.45751,303.1433869,304.8551537,1.686717726,12161.54833,0.2759254781,3.973941466,3449.818291,1,0,over-expanded
7000,41105.27573,144865.0359,145671.4304,165721.3634,-20049.933,307.5109789,309.2227457,1.71101941,12161.54833,0.2958634412,3.973941466,3449.818291,1,0,over-expanded
7500,38299.69421,146808.5217,147614.9161,165721.3634,-18106.44726,311.6364962,313.3482629,1.733974168,12161.54833,0.3175364342,3.973941466,3449.818291,1,0,over-expanded
8000,35651.62834,148642.893,149449.2875,165721.3634,-16272.07594,315.5303917,317.2421585,1.755640161,12161.54833,0.3411218196,3.973941466,3449.818291,1,0,over-expanded
8500,33154.1875,150372.9232,151179.3176,165721.3634,-14542.04578,319.202798,320.9145648,1.776073768,12161.54833,0.3668178666,3.973941466,3449.818291,1,0,over-expanded
9000,30800.69526,152003.2371,152809.6315,165721.3634,-12911.73186,322.6635325,324.3752993,1.795329614,12161.54833,0.3948465522,3.973941466,3449.818291,1,0,over-expanded
9500,28584.68541,153538.314,154344.7085,165721.3634,-11376.6549,325.9221036,327.6338704,1.813460604,12161.54833,0.4254567841,3.973941466,3449.818291,0,0,over-expanded
10000,26499.89814,154982.4903,155788.8848,165721.3634,-9932.478601,328.9877161,330.6994829,1.830517954,12161.54833,0.4589281161,3.973941466,3449.818291,0,0,over-expanded
10500,24540.27613,156339.962,157146.3565,165721.3634,-8575.006927,331.8692772,333.5810439,1.846551225,12161.54833,0.4955750403,3.973941466,3449.818291,0,0,over-expanded
11000,22699.96074,157614.7875,158421.1819,165721.3634,-7300.181481,334.5754017,336.2871684,1.861608351,12161.54833,0.5357519543,3.973941466,3449.818291,0,0,over-expanded
11500,20984.79598,158802.9184,159609.3129,165721.3634,-6112.050528,337.0974962,338.8092629,1.875641517,12161.54833,0.5795409371,3.973941466,3449.818291,0,0,over-expanded
12000,19399.44848,159901.1222,160707.5167,165721.3634,-5013.846735,339.4286986,341.1404653,1.888612542,12161.54833,0.6269017565,3.973941466,3449.818291,0,0,over-expanded
12500,17934.0911,160916.2063,161722.6008,165721.3634,-3998.762641,341.5834594,343.2952262,1.90060183,12161.54833,0.6781245986,3.973941466,3449.818291,0,0,over-expanded
13000,16579.62543,161854.4734,162660.8678,165721.3634,-3060.495585,343.5751576,345.2869243,1.911683822,12161.54833,0.7335237083,3.973941466,3449.818291,0,0,over-expanded
13500,15327.64424,162721.7472,163528.1417,165721.3634,-2193.221694,345.4161556,347.1279223,1.921927304,12161.54833,0.7934388442,3.973941466,3449.818291,0,0,over-expanded
14000,14170.37884,163523.4095,164329.804,165721.3634,-1391.559441,347.1178771,348.8296438,1.931395839,12161.54833,0.8582373462,3.973941466,3449.818291,0,0,over-expanded
14500,13100.65053,164264.433,165070.8274,165721.3634,-650.5359853,348.6908781,350.4026448,1.940148162,12161.54833,0.9283163688,3.973941466,3449.818291,0,0,over-expanded
15000,12111.8257,164949.4129,165755.8073,165721.3634,34.44391997,350.1449131,351.8566799,1.948238547,12161.54833,1.004105296,3.973941466,3449.818291,0,0,ideally-expanded
15500,11197.77435,165582.5956,166388.99,165721.3634,667.6266512,351.4889962,353.2007629,1.955717149,12161.54833,1.086068352,3.973941466,3449.818291,0,0,under-expanded
