# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
0,101325,94266.50867,95040.88119,159140.5659,-64099.6847,195.7038995,197.3115513,1.113393753,8791.832923,0.08676864469,4.454804411,3239.989707,1,0,over-expanded
2000,79501.42464,109384.1615,110158.5341,159140.5659,-48982.03182,227.0892098,228.6968616,1.291950279,8791.832923,0.1105871117,4.454804411,3239.989707,1,0,over-expanded
4000,61660.44413,121742.9866,122517.3591,159140.5659,-36623.20675,252.7469995,254.3546513,1.437921937,8791.832923,0.1425846513,4.454804411,3239.989707,1,0,over-expanded
6000,47217.64248,131747.8212,132522.1937,159140.5659,-26618.37214,273.5177396,275.1253914,1.556090315,8791.832923,0.1861980493,4.454804411,3239.989707,1,0,over-expanded
8000,35651.62834,139759.8442,140534.2167,159140.5659,-18606.34918,290.1512626,291.7589144,1.650721339,8791.832923,0.2466039655,4.454804411,3239.989707,1,0,over-expanded
10000,26499.89814,146099.4415,146873.8141,159140.5659,-12266.75183,303.3127123,304.9203642,1.725599132,8791.832923,0.3317685554,4.454804411,3239.989707,1,0,over-expanded
12000,19399.44848,151018.0734,151792.4459,159140.5659,-7348.119968,313.5241379,315.1317897,1.78369372,8791.832923,0.453200148,4.454804411,3239.989707,0,0,over-expanded
14000,14170.37884,154640.3607,155414.7332,159140.5659,-3725.832674,321.044261,322.6519128,1.826477017,8791.832923,0.6204373943,4.454804411,3239.989707,0,0,over-expanded
16000,10352.8318,157284.8564,158059.2289,159140.5659,-1081.336983,326.53442,328.1420718,1.857711493,8791.832923,0.8492201065,4.454804411,3239.989707,0,0,over-expanded
18000,7565.234491,159215.8841,159990.2566,159140.5659,849.6907134,330.5433692,332.1510211,1.880519107,8791.832923,1.162136208,4.454804411,3239.989707,0,0,under-expanded
20000,5529.311892,160626.2108,161400.5833,159140.5659,2260.017419,333.4713066,335.0789584,1.897176656,8791.832923,1.590041057,4.454804411,3239.989707,0,0,under-expanded
22000,4047.500024,161652.6932,162427.0658,159140.5659,3286.499885,335.6023564,337.2100082,1.909300571,8791.832923,2.172163773,4.454804411,3239.989707,0,0,under-expanded
24000,2971.746808,162397.8903,163172.2628,159140.5659,4031.696922,337.1494379,338.7570897,1.918102188,8791.832923,2.958473077,4.454804411,3239.989707,0,0,under-expanded
26000,2188.377466,162940.5468,163714.9193,159140.5659,4574.353457,338.276031,339.8836828,1.924511574,8791.832923,4.017512088,4.454804411,3239.989707,0,0,under-expanded
28000,1616.197786,163336.9078,164111.2803,159140.5659,4970.71444,339.0989042,340.706556,1.929193044,8791.832923,5.439824877,4.454804411,3239.989707,0,0,under-expanded
30000,1197.03164,163627.2731,164401.6456,159140.5659,5261.079708,339.7017229,341.3093748,1.932622585,8791.832923,7.344695517,4.454804411,3239.989707,0,0,under-expanded
32000,889.0644172,163840.6085,164614.981,159140.5659,5474.415126,340.1446223,341.7522741,1.935142317,8791.832923,9.888859292,4.454804411,3239.989707,0,0,under-expanded
34000,663.4130475,163996.922,164771.2945,159140.5659,5630.728609,340.4691401,342.0767919,1.936988555,8791.832923,13.25242691,4.454804411,3239.989707,0,0,under-expanded
36000,498.5227239,164111.145,164885.5175,159140.5659,5744.951629,340.7062751,342.3139269,1.938337658,8791.832923,17.63577166,4.454804411,3239.989707,0,0,under-expanded
38000,377.1385189,164195.2304,164969.6029,159140.5659,5829.037038,340.8808423,342.4884941,1.939330802,8791.832923,23.31194636,4.454804411,3239.989707,0,0,under-expanded
40000,287.1439555,164257.5715,165031.9441,159140.5659,5891.378178,341.0102669,342.6179187,1.940067121,8791.832923,30.6182065,4.454804411,3239.989707,0,0,under-expanded
42000,219.9672263,164304.1063,165078.4788,159140.5659,5937.912921,341.1068763,342.7145281,1.940616748,8791.832923,39.96883113,4.454804411,3239.989707,0,0,under-expanded
44000,169.4963967,164339.0685,165113.441,159140.5659,5972.875134,341.1794603,342.7871121,1.941029692,8791.832923,51.87032347,4.454804411,3239.989707,0,0,under-expanded
46000,131.3406532,164365.4998,165139.8723,159140.5659,5999.306426,341.2343335,342.8419853,1.941341875,8791.832923,66.93915943,4.454804411,3239.989707,0,0,under-expanded
