# units: mixture_ratio[-] temperature[K] molar_mass[kg/mol] c_star_ideal[m/s] X_H2[-] X_H[-] X_O[-] X_O2[-] X_OH[-] X_H2O[-] X_HO2[-] X_H2O2[-] X_CO[-] X_CO2[-] X_C[-] X_CH[-] X_CH2[-] X_CH3[-] X_CH4[-] X_HCO[-] X_CH2O[-] X_CH2OH[-] X_CH3O[-] X_CH3OH[-] X_C2H[-] X_C2H2[-] X_C2H4[-] X_C2H6[-] X_CH2CO[-] X_C2[-]
mixture_ratio,temperature,molar_mass,c_star_ideal,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_CO,X_CO2,X_C,X_CH,X_CH2,X_CH3,X_CH4,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H4,X_C2H6,X_CH2CO,X_C2
2,2549.361991,0.01601904987,1756.589004,0.3675620795,0.002543069555,2.02951081e-06,6.694069095e-07,0.0004495629274,0.2966068612,5.75595086e-09,1.442119994e-08,0.2952201908,0.03760709357,2.553589335e-12,1.237935522e-11,7.998994229e-10,5.502018928e-08,4.473247865e-07,5.511181498e-06,2.404457415e-06,8.230417129e-10,5.248349308e-11,1.836741159e-09,5.051950397e-13,9.177048223e-10,1.13581342e-11,1.930536387e-14,9.364764464e-10,3.35823979e-16
2.05,2623.452137,0.01627708355,1770.705673,0.3523907949,0.00337738325,4.365875024e-06,1.565058517e-06,0.0007064263169,0.3108666362,1.333978604e-08,2.680959401e-08,0.2930630369,0.03958056984,5.06143996e-12,2.037152763e-11,9.692565611e-10,4.716131894e-08,2.817740335e-07,6.557399936e-06,2.290346051e-06,8.779800112e-10,5.82079717e-11,1.477503847e-09,6.091654281e-13,6.901690633e-10,6.410492193e-12,8.704125346e-15,7.425979278e-10,5.84879465e-16
2.1,2694.635463,0.01653266374,1783.667802,0.3373272498,0.00436037482,8.818074378e-06,3.431732602e-06,0.00106934044,0.3248042723,2.894438558e-08,4.748210505e-08,0.2907166401,0.04169974196,9.355051131e-12,3.171276769e-11,1.139141891e-09,4.036523411e-08,1.819945895e-07,7.649735454e-06,2.17771269e-06,9.228764943e-10,6.34144856e-11,1.198843998e-09,7.094953283e-13,5.221119068e-10,3.716913314e-12,4.095044177e-15,5.93300518e-10,9.536689482e-16
2.15,2762.835562,0.01678546267,1795.529415,0.3223962691,0.005487108357,1.682764684e-05,7.103030997e-06,0.001565055031,0.3383752629,5.918256251e-08,8.049227379e-08,0.2881736748,0.04396756949,1.623226492e-11,4.694366849e-11,1.301931653e-09,3.448417194e-08,1.201421752e-07,8.764678664e-06,2.066471147e-06,9.568010679e-10,6.794755094e-11,9.79729709e-10,8.00481965e-13,3.968094342e-10,2.20608894e-12,1.999562413e-15,4.769483208e-10,1.464769421e-15
2.2,2827.986408,0.0170351634,1806.336961,0.3076290764,0.006745984012,3.050528845e-05,1.395520573e-05,0.002221681966,0.3515322999,1.14677059e-07,1.311339059e-07,0.2854279024,0.04638640051,2.659533739e-11,6.637598283e-11,1.450333502e-09,2.939640873e-08,8.083825875e-08,9.877558695e-06,1.956670111e-06,9.792496981e-10,7.168196987e-11,8.054010414e-10,8.770889987e-13,3.026625043e-10,1.336258455e-12,1.00868733e-15,3.853417039e-10,2.130613546e-15
2.25,2890.033173,0.01728146255,1816.131141,0.293062599,0.008119175124,5.278051252e-05,2.615030555e-05,0.003067361666,0.3642264566,2.116039739e-07,2.06029163e-07,0.2824745455,0.04895761721,4.135651666e-11,9.000320277e-11,1.577994607e-09,2.500005425e-08,5.531047055e-08,1.096369228e-05,1.848471393e-06,9.901435594e-10,7.452840378e-11,6.653040384e-10,9.354312273e-13,2.314873207e-10,8.238886404e-13,5.236339499e-16,3.125958073e-10,2.948821874e-15
2.3,2948.93203,0.01752407097,1824.948388,0.2787384816,0.009583474539,8.751820211e-05,4.693193189e-05,0.004128729048,0.3764084729,3.733931778e-07,3.131201542e-07,0.2793106357,0.05168126447,6.131253337e-11,1.174473202e-10,1.679971931e-09,2.120846572e-08,3.840711219e-08,1.199945915e-05,1.742127794e-06,9.898052542e-10,7.64363151e-11,5.517596925e-10,9.730821726e-13,1.774196663e-10,5.159721467e-13,2.788189865e-16,2.544147281e-10,3.899544656e-15
2.35,3004.649456,0.01776271306,1832.821957,0.2647018702,0.01111145584,0.0001395725673,8.095967755e-05,0.005429259861,0.3880301219,6.324012777e-07,4.615354568e-07,0.2759353541,0.05455566195,8.700660907e-11,1.479538774e-10,1.753025165e-09,1.794687251e-08,2.702217533e-08,1.296325226e-05,1.637960774e-06,9.789155171e-10,7.739427337e-11,4.590881866e-10,9.891826306e-13,1.361985642e-10,3.276436812e-13,1.518649478e-16,2.076122533e-10,4.945611406e-15
2.4,3057.161588,0.01799712559,1839.782643,0.2510000108,0.01267284983,0.0002147486581,0.0001346544917,0.00698759351,0.3990456571,1.031290866e-06,6.613097215e-07,0.2723503696,0.05757701262,1.18602329e-10,1.804384775e-10,1.795722107e-09,1.514990767e-08,1.92378582e-08,1.383627222e-05,1.536338197e-06,9.58454897e-10,7.742784885e-11,3.830217712e-10,9.84362986e-13,1.046894116e-10,2.10663168e-13,8.442536305e-17,1.697896281e-10,6.03564898e-15
2.45,3106.454136,0.01822705711,1845.85921,0.2376806988,0.014236042,0.0003196463515,0.0002165116983,0.008815948194,0.4094133313,1.623784931e-06,9.229469883e-07,0.2685601681,0.06073903571,1.557943541e-10,2.135787567e-10,1.808370814e-09,1.275981641e-08,1.384413002e-08,1.460315019e-05,1.43765238e-06,9.296352538e-10,7.659546862e-11,3.203045601e-10,9.605173631e-13,8.056111252e-11,1.370007552e-13,4.782010642e-17,1.391153618e-10,7.109663147e-15
