# units: species[-] mole_fraction[-] mass_fraction[-] moles_per_kg[mol/kg] molar_mass[kg/mol]
species,mole_fraction,mass_fraction,moles_per_kg,molar_mass
H2O,0.4842726042,0.4035804242,22.40246596,0.018015
CO,0.1800344301,0.2332784397,8.328398419,0.02801
CO2,0.1261892562,0.2569033725,5.837518974,0.044009
H2,0.08307024556,0.007747149678,3.842832182,0.002016
OH,0.06586978032,0.05182267795,3.047138117,0.017007
O2,0.02502890138,0.03704849289,1.157837768,0.031998
H,0.0242191545,0.001129341882,1.120378851,0.001008
O,0.01116751557,0.008265237355,0.5166096228,0.015999
HO2,0.0001164006596,0.0001777273483,0.005384698186,0.033006
H2O2,1.969972619e-05,3.099729682e-05,0.0009113099554,0.034014
HCO,1.166576143e-05,1.565981012e-05,0.000539658492,0.029018
CH2O,3.440167286e-07,4.778405115e-07,1.591422472e-05,0.030026
CH3,5.41850462e-10,3.768676028e-10,2.506601948e-08,0.015035
C,4.595061477e-10,2.553150512e-10,2.12567689e-08,0.012011
CH2,3.94057665e-10,2.556998665e-10,1.822912002e-08,0.014027
CH,2.119775332e-10,1.276654516e-10,9.806087379e-09,0.013019
CH2OH,2.092350339e-10,3.003848909e-10,9.679219274e-09,0.031034
CH4,1.358420176e-10,1.008151108e-10,6.284056022e-09,0.016043
CH3O,2.002299931e-11,2.874569497e-11,9.262645799e-10,0.031034
CH3OH,1.759270157e-11,2.607702699e-11,8.138389299e-10,0.032042
CH2CO,4.998617754e-12,9.720476773e-12,2.312362151e-10,0.042037
C2H2,9.749228355e-13,1.174312788e-12,4.509996114e-11,0.026038
C2H,9.169888466e-14,1.061770923e-13,4.241993299e-12,0.02503
C2,3.736159496e-15,4.151838916e-15,1.728348562e-13,0.024022
C2H4,2.517737823e-16,3.267467086e-16,1.164706312e-14,0.028054
C2H6,1.671183054e-20,2.324681054e-20,7.730898083e-19,0.03007
