# units: propellants.mixture_ratio[-] chamber.temperature[K] chamber.molar_mass[kg/mol] chamber.gamma_s[-] chamber.c_star_ideal[m/s] chamber.c_star[m/s] chamber.equivalence_ratio[-] performance.isp[s] performance.isp_vacuum[s] performance.thrust[N] performance.mdot[kg/s] performance.exit_pressure[Pa] performance.exit_temperature[K] cooling.max_wall_temperature[K] cooling.max_heat_flux[W/m^2] cooling.pressure_drop[Pa] cooling.outlet_temperature[K] cooling.energy_balance_residual[-] status[-]
propellants.mixture_ratio,chamber.temperature,chamber.molar_mass,chamber.gamma_s,chamber.c_star_ideal,chamber.c_star,chamber.equivalence_ratio,performance.isp,performance.isp_vacuum,performance.thrust,performance.mdot,performance.exit_pressure,performance.exit_temperature,cooling.max_wall_temperature,cooling.max_heat_flux,cooling.pressure_drop,cooling.outlet_temperature,cooling.energy_balance_residual,status
2,2549.361991,0.01601904987,1.227253682,1756.589004,1686.325444,1.994514742,253.4353988,316.7938622,124782.9361,50.20734421,24408.65269,901.7482197,547.4399653,44788854.92,2928923.853,278.3393405,1.539194557e-10,ok
2.1,2694.635463,0.01653266374,1.215241826,1783.667802,1712.32109,1.899537849,258.1044151,322.4395845,125152.5047,49.44512013,24279.72401,951.2857397,573.1158577,46597209.96,3080242.193,299.4369534,2.08441803e-10,ok
2.2,2827.986408,0.0170351634,1.203396686,1806.336961,1734.083482,1.81319522,262.3401318,327.4929558,125609.9517,48.82459401,24574.0849,1020.579352,597.817506,48122922.66,3208006.994,320.7172592,7.940520176e-11,ok
2.3,2948.93203,0.01752407097,1.19199466,1824.948388,1751.950452,1.734360645,266.1317663,331.9558864,126125.8815,48.32666467,25005.22784,1095.794515,622.6526727,49334380.21,3319478.319,341.8842595,3.17337146e-11,ok
2.4,3057.161588,0.01799712559,1.181261937,1839.782643,1766.191337,1.662095618,269.5142062,335.8733836,126699.0124,47.93700447,25515.75501,1174.095608,647.7469478,50233385.48,3413212.78,362.4994041,3.402864071e-10,ok
2.5,3152.523196,0.01845226881,1.171374313,1851.078687,1777.03554,1.595611793,272.5205022,339.2871169,127330.4825,47.64447313,26097.07702,1255.161809,672.7952344,50846006.12,3486906.767,382.1384755,5.241647377e-10,ok
2.6,3235.038973,0.01888766112,1.162481583,1859.048082,1784.686159,1.534242109,275.1768496,342.2309126,128020.4521,47.44023009,26746.64254,1338.919115,696.5696214,51211240.68,3539461.844,400.5440506,1.332943529e-11,ok
2.7,3304.9721,0.01930181216,1.154714723,1863.891506,1789.335846,1.477418327,277.5024189,344.7311795,128766.8965,47.31695405,27464.43927,1425.354368,718.2339818,51371703.66,3572088.009,417.5606433,1.127007633e-09,ok
2.8,3362.910928,0.01969380543,1.148159896,1865.831014,1791.197774,1.424653387,279.509099,346.8078158,129563.2183,47.26776868,28252.064,1514.500571,737.2979482,51367815.29,3586628.602,433.1055619,1.20874592e-09,ok
2.9,3409.79987,0.02006349217,1.142821568,1865.149106,1790.543142,1.375527408,281.2011968,348.4753179,130395.2265,47.28505001,29111.44175,1606.412787,753.5918818,51236068.15,3584840.599,447.1461279,1.102263115e-11,ok
