# units: metric[-] count[-] mean[-] stddev[-] min[-] max[-] p5[-] p50[-] p95[-] p99[-] skewness[-]
metric,count,mean,stddev,min,max,p5,p50,p95,p99,skewness
chamber.c_star,200,1754.524449,20.82994104,1714.705551,1801.675188,1719.755817,1755.059032,1788.676228,1797.306115,-0.003317405128
chamber.temperature,200,3523.441922,5.496059397,3508.453856,3539.153269,3514.102938,3524.109085,3531.329772,3533.019752,-0.3441714371
cooling.max_heat_flux,200,50217002.63,5153123.195,39006015.72,65094936.45,42165694.48,49836368.84,59355532.94,61698845.61,0.2078755796
cooling.max_wall_temperature,200,802.5407977,81.77901777,611.6836443,1026.3824,678.7082492,802.7988866,946.0806232,974.4898319,0.1179070474
cooling.outlet_temperature,200,495.7300473,50.37442059,376.7070465,645.8408872,415.4307702,492.4587876,582.7187926,604.9229535,0.1513378194
cooling.pressure_drop,200,3421482.681,635992.4219,2269736.805,5115240.837,2458326.758,3360521.589,4530877.891,4881607.43,0.3699003832
cooling_energy_residual,200,2.121896988e-09,2.147109735e-09,8.206256873e-12,9.552764222e-09,2.376248937e-11,1.462104988e-09,6.579987015e-09,8.727006722e-09,1.261688025
performance.exit_pressure,200,34357.67435,899.2666687,32211.74897,37990.70673,32966.37007,34343.84902,35842.75036,36096.80858,0.3114791868
performance.isp,200,284.7890845,1.377640287,279.8513715,288.5871314,282.4615032,284.8172322,286.8470357,287.7840453,-0.2264952002
performance.isp_vacuum,200,350.771511,0.3822567268,349.5622195,351.7800281,350.11279,350.8120127,351.3163499,351.5206583,-0.3884147005
performance.mdot,200,48.25348743,1.093655867,44.60639686,50.98839704,46.48218239,48.29785281,49.91538585,50.56891365,-0.1394129264
performance.thrust,200,134777.5939,3676.465014,122417.9942,144300.8853,128844.471,134850.7732,140481.1637,142519.7172,-0.1347796934
