# units: evaluation[-] outer_iteration[-] chamber.pressure[Pa] propellants.mixture_ratio[-] nozzle.expansion_ratio[-] cooling.channel_height[m] cooling.wall_thickness[m] cooling.width_fraction[-] performance.isp_vacuum[s] merit[-] max_violation[-] feasible[-]
evaluation,outer_iteration,chamber.pressure,propellants.mixture_ratio,nozzle.expansion_ratio,cooling.channel_height,cooling.wall_thickness,cooling.width_fraction,performance.isp_vacuum,merit,max_violation,feasible
1,0,5500000,3.4,45,0.005,0.0006,0.5,367.9549626,-367.9549626,0,1
2,0,6300000,3.4,45,0.005,0.0006,0.5,368.2036152,-368.2036152,0,1
3,0,5500000,3.56,45,0.005,0.0006,0.5,367.5404447,-367.5404447,0,1
4,0,5500000,3.4,52.5,0.005,0.0006,0.5,370.7798539,-370.7798539,0,1
5,0,5500000,3.4,45,0.00555,0.0006,0.5,367.9549626,-367.9549626,0,1
6,0,5500000,3.4,45,0.005,0.00068,0.5,367.9549626,-367.9549626,0,1
7,0,5500000,3.4,45,0.005,0.0006,0.46,367.9549626,-367.9549626,0,1
8,0,5766666.667,3.24,47.5,0.005183333333,0.0006266666667,0.4866666667,368.400374,-368.400374,0,1
9,0,5855555.556,3.346666667,48.33333333,0.005244444444,0.0006355555556,0.5355555556,369.2757619,-369.2757619,0,1
10,0,5974074.074,3.328888889,49.44444444,0.005325925926,0.0005407407407,0.5074074074,369.6501192,-369.6501192,0,1
11,0,6132098.765,3.305185185,50.92592593,0.004701234568,0.0006009876543,0.5098765432,370.1012632,-370.1012632,0,1
12,0,6342798.354,3.273580247,52.90123457,0.005151646091,0.0006013168724,0.5131687243,370.6214097,-370.6214097,0,1
13,0,5557064.472,3.231440329,55.53497942,0.005202194787,0.0006017558299,0.517558299,370.9481752,-370.9481752,0,1
14,0,5433241.884,3.203347051,57.29080933,0.005235893919,0.0006020484682,0.5204846822,371.1885142,-371.1885142,0,1
15,0,5979256.211,3.379222679,56.29858253,0.005036381649,0.0005668830971,0.5421643042,372.1119636,-372.1119636,0,1
16,0,6014687.802,3.402426459,57.76501296,0.005011889702,0.0005569191688,0.5514139105,372.6313299,-372.6313299,0,1
17,0,5943411.404,3.29114261,58.60914241,0.00489775229,0.0005317820793,0.4985615336,372.3745289,-372.3745289,0,1
18,0,5814671.996,3.296338295,60.55293062,0.004673546264,0.0006236106736,0.5237610572,372.9200346,-372.9200346,0,1
19,0,5788104.982,3.290913196,62.40434498,0.00456481632,0.0006374223291,0.5264866655,373.3756199,-373.3756199,0,1
20,0,5541982.71,3.315284669,62.89758882,0.005252764873,0.0005755086516,0.5268286288,373.5953168,-373.5953168,0,1
21,0,5443630.034,3.316967917,64.89286597,0.00534468659,0.0005712621512,0.5296539764,374.0939883,-374.0939883,0,1
22,0,5031560.348,3.361352164,64.91949064,0.004866700183,0.0005651611931,0.5290315318,374.2001806,-374.2001806,0,1
23,0,4813020.68,3.375980817,66.92253332,0.004819209199,0.0005591352466,0.5316753331,374.6920907,-374.6920907,0,1
24,0,5645365.596,3.226926017,70.12823632,0.004958082673,0.0005528564811,0.5527587004,374.68724,-374.68724,0,1
25,0,5782831.616,3.431438622,69.61656932,0.004629585006,0.0005344106838,0.5430320243,375.8224739,-375.8224739,0,1
26,0,5841096.571,3.469453883,71.67086266,0.004528533521,0.0005231377197,0.5467899147,376.3911245,-376.3911245,0,1
27,0,5238557.151,3.403080153,72.65214299,0.004844653711,0.0006017956195,0.5810312999,376.2870346,-376.2870346,0,1
28,0,4908570.536,3.292014202,78.45864913,0.00467477097,0.0005916173469,0.5380513862,376.8097396,-376.8097396,0,1
29,0,4724217.659,3.273612159,81.90758849,0.004618584514,0.0005974003766,0.5358242988,377.2720081,-377.2720081,0,1
30,0,4780524.248,3.397760452,80.32039827,0.005139767082,0.0004977735358,0.5660911756,377.7481247,-377.7481247,0,1
31,0,4612594.125,3.415568328,83.30640715,0.005235592209,0.0004744987369,0.5726919273,378.3381862,-378.3381862,0,1
32,0,4847987.227,3.404572536,83.96972434,0.004323532019,0.0005316792423,0.5772698483,378.5059261,-378.5059261,0,1
33,0,4748713.425,3.419173306,87.14920074,0.00415333959,0.0005250820908,0.5852058269,379.1155071,-379.1155071,0,1
34,0,4347367.608,3.558696865,84.4080088,0.004441888242,0.0005408267823,0.5649808331,378.5299665,-378.5299665,0,1
35,0,5024494.833,3.470547414,86.55779638,0.004454988064,0.0005284451954,0.5971660338,379.2385398,-379.2385398,0,1
36,0,5059740.525,3.486308514,82.13785133,0.004394284541,0.0005233301868,0.6080811506,378.4180883,-378.4180883,0,1
37,0,4527604.256,3.465937166,85.35738584,0.004299655002,0.000461334681,0.5531883116,378.8215361,-378.8215361,0,1
38,0,3487234.065,3.398391196,76.718855,0.004539482353,0.0005193915679,0.5895624958,376.4789869,-376.4789869,0,1
39,0,3879544.482,3.410234977,81.98723539,0.004537657548,0.0005200159265,0.5824337323,377.7746877,-377.7746877,0,1
40,0,4322555.251,3.63977386,81.5871888,0.004422455704,0.0004193340944,0.6160645895,377.6055796,-377.6055796,0,1
41,0,4389498.986,3.57874691,84.33805925,0.004455143839,0.0004490118081,0.6026912078,378.4830869,-378.4830869,0,1
42,0,5337213.262,3.559321686,81.52402713,0.004475878101,0.0004730505049,0.5762076478,378.356012,-378.356012,0,1
43,0,4845703.332,3.601906121,84.36374209,0.003524705404,0.0005180849506,0.5871213597,378.6190549,-378.6190549,0,1
44,0,3957247.551,3.472347575,77.87728514,0.003967361946,0.0005345446644,0.5872435431,377.0729143,-377.0729143,0,1
45,0,5107218.977,3.544826001,84.95714176,0.004391125409,0.0004832995315,0.5780469637,378.9839495,-378.9839495,0,1
46,0,5144201.825,3.441615381,84.41653491,0.003966756731,0.0005700126024,0.5525452352,378.8114773,-378.8114773,0,1
47,0,5451944.608,3.422638264,84.3266911,0.003821635158,0.0004879262349,0.5861104106,378.8307141,-378.8307141,0,1
48,0,5155689.309,3.319673057,84.45741011,0.004837794581,0.0005006151614,0.5636329009,378.2182226,-378.2182226,0,1
49,0,4897367.661,3.554867277,86.22688339,0.0037435536,0.000515173319,0.5832066166,379.1345518,-379.1345518,0,1
50,0,4774912.762,3.517714428,81.20400631,0.00432134221,0.0004304077484,0.6084294859,378.1241817,-378.1241817,0,1
51,0,5082653.648,3.454298555,86.81311137,0.004025854311,0.0005467451268,0.561859277,379.2721241,-379.2721241,0,1
52,0,5576526.794,3.489513107,85.96008018,0.003897177042,0.0005675558185,0.6106767312,379.3385108,-379.3385108,0,1
53,0,5751347.217,3.49344243,84.51299118,0.003830097381,0.0005852593414,0.6202581345,379.1218916,-379.1218916,0,1
54,0,4693713.839,3.555103622,81.69164253,0.004400377513,0.000567507459,0.5859434058,378.1408779,-378.1408779,0,1
55,0,5325572.813,3.444715824,86.65696883,0.003918092218,0.0005011897723,0.5860825765,379.2970058,-379.2970058,0,1
56,0,5111224.081,3.399545827,84.79689386,0.003673209533,0.0005780975761,0.5966853903,378.7248332,-378.7248332,0,1
57,0,5107886.494,3.520612638,86.66480249,0.004271472763,0.0004990992056,0.5811533681,379.329228,-379.329228,0,1
58,0,5589453.989,3.559011633,87.15041893,0.003950373075,0.0005276540551,0.5881757075,379.5653427,-379.5653427,0,1
59,0,5729577.416,3.58231802,86.20035554,0.003916545322,0.0005280827158,0.5886706876,379.3889392,-379.3889392,0,1
60,0,5671495.195,3.424699114,85.91782002,0.004429098891,0.0005417230721,0.5918312815,379.1984954,-379.1984954,0,1
61,0,5542473.94,3.446393808,87.22703612,0.004314841342,0.0005372981133,0.5903938373,379.4726697,-379.4726697,0,1
