# units: time[s] pressure[Pa] temperature[K] mixture_ratio[-] mass[kg] mass_oxidizer[kg] mass_fuel[kg] mdot_ox_in[kg/s] mdot_fuel_in[kg/s] mdot_out[kg/s] c_star[m/s] gamma_s[-] eta_heat[-] thrust[N] molar_mass[kg/mol] density[kg/m^3] choked[-] inlet_mr_clamped[-]
time,pressure,temperature,mixture_ratio,mass,mass_oxidizer,mass_fuel,mdot_ox_in,mdot_fuel_in,mdot_out,c_star,gamma_s,eta_heat,thrust,molar_mass,density,choked,inlet_mr_clamped
0,101325,300,3.4,0.01367689016,0.01056850603,0.003108384128,0,0,2.700375737e-06,461.9353044,1.313149884,0,0,0.02609882926,1.060186327,0,0
0.001,101325,300,3.4,0.01367689016,0.01056850603,0.003108384127,0,0,0,461.9353044,1.313149884,0.0125,0,0.02609882926,1.060186327,0,0
0.002,101325,300,3.4,0.01367689016,0.01056850603,0.003108384127,0,0,0,461.9353044,1.313149884,0.025,0,0.02609882926,1.060186327,0,0
0.003,100286.4708,291.5180474,3.237519122,0.01383289016,0.01056850603,0.003264384127,0,0.312,0,456.725869,1.314940857,0.0375,0,0.02591582576,1.07227892,0,0
0.004,96950.07782,267.2136217,2.831569761,0.01430089016,0.01056850603,0.003732384127,0,0.624,0,440.8585818,1.32038569,0.05,0,0.02540402474,1.108556699,0,0
0.005,114344.1743,302.5293624,2.454255639,0.01456983692,0.01035189869,0.004217938232,1.060571429,0.936,2.465218114,474.9515697,1.31114635,0.1015,0,0.02484489724,1.129404543,0,0
0.006,156214.9012,427.1218117,2.232019478,0.01387847756,0.009584420037,0.004294057526,2.121142857,1.248,4.092198165,574.2317026,1.271972566,0.153,0,0.02445682882,1.075812701,0,0
0.007,220145.8746,606.7663825,2.138624541,0.01346372671,0.009174036578,0.004289690127,3.181714286,1.56,4.787422462,707.8720278,1.192386176,0.2045,-24988.52754,0.02391692115,1.043662616,1,0
0.008,291417.7282,744.5226352,2.148972034,0.01376197608,0.009391668586,0.004370307494,4.242285714,1.872,5.500576219,815.5559003,1.152641243,0.256,-22819.55193,0.02266061859,1.0667819,1,0
0.009,374861.9279,842.0991943,2.225845629,0.01462753881,0.01009305685,0.00453448196,5.302857143,2.184,6.403664888,901.1325776,1.139920704,0.3075,-20354.12731,0.02117835389,1.133877399,1,0
0.01,475828.1159,924.1212858,2.333310402,0.01585905436,0.01110130532,0.004757749037,6.363428571,2.496,7.514745801,974.7242221,1.142209896,0.359,-17455.55183,0.01985112782,1.229340324,1,0
0.011,602327.2504,1023.776615,2.446467943,0.01723654834,0.0122353272,0.00500122114,7.424,2.808,8.882152099,1043.903272,1.168043507,0.4105,-14035.00355,0.01888217506,1.336119004,1,0
0.012,793283.0307,1273.528877,2.552543752,0.01836401159,0.01319475461,0.00516925698,8.484571429,3.12,10.7043029,1140.816325,1.226822032,0.462,-9207.03124,0.01900103315,1.423516147,1,0
0.013,998659.6799,1577.749956,2.646948426,0.01915331211,0.01390143852,0.005251873587,9.545142857,3.432,12.25512471,1254.427983,1.224905168,0.5135,-3499.242675,0.01950264751,1.484700058,1,0
0.014,1196634.206,1862.991729,2.727700775,0.01986584835,0.01453659862,0.005329249732,10.60571429,3.744,13.62969437,1351.516178,1.217612826,0.565,2089.522319,0.0199335961,1.53993346,1,0
0.015,1394242.666,2129.168392,2.794856446,0.02061275437,0.01518099307,0.005431761295,11.66628571,4.056,14.94354083,1436.252531,1.208651963,0.6165,7733.85734,0.02028788126,1.597831091,1,0
0.016,1594887.334,2374.901759,2.850038068,0.02142897878,0.0158630653,0.00556591348,12.72685714,4.368,16.23946713,1511.834275,1.197496004,0.668,13556.5246,0.02056582517,1.661102051,1,0
0.017,1798806.456,2595.899095,2.895467075,0.02232592239,0.01659466553,0.005731256858,13.78742857,4.68,17.52824937,1579.76267,1.183643186,0.7195,19601.30252,0.02076547189,1.73063009,1,0
0.0180000001,2004837.549,2787.216814,2.933272485,0.02330698793,0.01738139086,0.005925597074,14.84800011,4.992000031,18.81843485,1639.991664,1.168576895,0.7710000051,25828.22599,0.02088366614,1.806678977,1,0
0.019,2212135.181,2947.530568,2.965206432,0.02436355275,0.01821921873,0.006144334013,15.90857143,5.304,20.12491245,1692.090611,1.155140954,0.8225,32142.68881,0.02092263112,1.888580312,1,0
0.02,2420647.483,3080.425034,2.992609591,0.02547328545,0.01909317618,0.006380109266,16.96914286,5.616,21.45801027,1736.553037,1.145236854,0.874,38460.65844,0.02089262855,1.974603043,1,0
0.0210000001,2598513.791,3158.480135,3.016463183,0.0266523031,0.02001653878,0.006635764325,18.02971439,5.928000031,22.7056943,1761.717192,1.140459863,0.874,43761.40842,0.02087934604,2.065996509,1,0
0.022,2752903.387,3193.459817,3.037440443,0.02798140782,0.02105092594,0.006930481877,19.09028571,6.24,23.93100209,1770.826605,1.138583175,0.874,48290.27046,0.02092035605,2.169024217,1,0
0.023,2905317.834,3213.126613,3.056055326,0.02943364873,0.02217693097,0.007256717763,20.15085714,6.552,25.20605911,1774.331049,1.137628476,0.874,52730.73088,0.02098008854,2.281597027,1,0
0.0240000001,3059563.783,3226.552164,3.0727268,0.03096082761,0.02335883781,0.007601989805,21.21142868,6.864000031,26.52350551,1775.720227,1.137046454,0.874,57211.44368,0.02104363524,2.399978775,1,0
0.025,3215557.159,3237.079843,3.087781873,0.03252883057,0.02457125563,0.007957574934,22.272,7.176,27.86713216,1776.273798,1.136644013,0.874,61736.73091,0.02110545176,2.521525068,1,0
0.026,3372670.238,3246.051771,3.101470872,0.03411780323,0.02579937204,0.008318431191,23.33257143,7.488,29.22520426,1776.487998,1.136342763,0.874,66291.17487,0.02116370243,2.644696861,1,0
0.0270000001,3530421.945,3254.060089,3.113987277,0.03571707885,0.02703521465,0.008681864197,24.39314296,7.800000031,30.59084041,1776.565231,1.136106564,0.874,70862.07599,0.02121797394,2.768667305,1,0
