# units: time[s] pressure[Pa] temperature[K] mixture_ratio[-] mass[kg] mass_oxidizer[kg] mass_fuel[kg] mdot_ox_in[kg/s] mdot_fuel_in[kg/s] mdot_out[kg/s] c_star[m/s] gamma_s[-] eta_heat[-] thrust[N] molar_mass[kg/mol] density[kg/m^3] choked[-] inlet_mr_clamped[-]
time,pressure,temperature,mixture_ratio,mass,mass_oxidizer,mass_fuel,mdot_ox_in,mdot_fuel_in,mdot_out,c_star,gamma_s,eta_heat,thrust,molar_mass,density,choked,inlet_mr_clamped
0,101325,300.0000001,3.4,0.01367688992,0.01056850585,0.003108384073,0,0,0.0001176011137,461.9353565,1.313148995,0,0,0.0260988288,1.060186308,0,0
0.001,101324.9999,300.0000001,3.4,0.0136768899,0.01056850583,0.003108384069,0,0,0,461.9353565,1.313148995,0.0125,0,0.0260988288,1.060186307,0,0
0.002,101324.9999,300.0000001,3.4,0.0136768899,0.01056850583,0.003108384069,0,0,0,461.9353565,1.313148995,0.025,0,0.0260988288,1.060186307,0,0
0.003,100286.4743,291.518059,3.237519119,0.0138328899,0.01056850583,0.003264384069,0,0.312,0,456.7258549,1.31494019,0.0375,0,0.02591582541,1.0722789,0,0
0.004,96950.09291,267.2136676,2.831569752,0.0143008899,0.01056850583,0.003732384069,0,0.624,0,440.8582379,1.320385543,0.05,0,0.02540402469,1.108556679,0,0
0.005,114349.493,302.5321244,2.45425794,0.01457038344,0.0103522898,0.004218093639,1.060571429,0.936,2.463249111,474.9538691,1.311144531,0.1015,0,0.02484490035,1.129446908,0,0
0.006,156272.0115,427.123712,2.232050582,0.01388347928,0.009587915543,0.00429556374,2.121142857,1.248,4.085164106,574.2413118,1.271933581,0.153,0,0.02445681065,1.076200418,0,0
0.007,220235.9202,606.702506,2.138685647,0.01347077864,0.00917892525,0.004291853393,3.181714286,1.56,4.789689665,707.8263577,1.192413265,0.2045,-24986.07281,0.02391714629,1.044209258,1,0
0.008,291375.5977,744.0781695,2.149009091,0.01376749001,0.009395482939,0.004372007071,4.242285714,1.872,5.501485556,815.3032114,1.152776639,0.256,-22821.37864,0.02265944041,1.067209321,1,0
0.009,374915.7592,842.0084728,2.225847539,0.01463195801,0.0100961088,0.00453584921,5.302857143,2.184,6.405130251,901.0557926,1.139941438,0.3075,-20352.69395,0.02117942848,1.13421996,1,0
0.01,475746.8683,924.0117174,2.333288733,0.01586292592,0.01110398447,0.00475894145,6.363428571,2.496,7.515576146,974.4501157,1.142455307,0.359,-17459.69862,0.0198570103,1.229640434,1,0
0.011,602375.8188,1023.802339,2.446439644,0.01723838447,0.0122365895,0.005001794969,7.424,2.808,8.883112375,1043.87459,1.168090519,0.4105,-14034.01571,0.01888313835,1.336261335,1,0
0.012,793285.4853,1273.496794,2.552522503,0.01836489926,0.01319536149,0.005169537772,8.484571429,3.12,10.70427261,1140.823083,1.226727717,0.462,-9206.089064,0.01900141411,1.423584957,1,0
0.013,998661.1014,1577.686551,2.64693374,0.01915403214,0.01390193997,0.00525209217,9.545142857,3.432,12.25536837,1254.404829,1.224906281,0.5135,-3499.215326,0.01950256912,1.484755872,1,0
0.014,1196641.369,1862.951734,2.727691387,0.01986633799,0.01453694348,0.005329394504,10.60571429,3.744,13.62989156,1351.504714,1.217609231,0.565,2089.780913,0.01993354014,1.539971415,1,0
0.015,1394243.912,2129.126347,2.794850867,0.02061311013,0.0151812471,0.005431863029,11.66628571,4.056,14.94360671,1436.247482,1.20863409,0.6165,7734.228351,0.02028781265,1.597858669,1,0
0.016,1594893.263,2374.869534,2.850034834,0.0214292888,0.01586329012,0.005565998678,12.72685714,4.368,16.23956025,1511.831227,1.19748389,0.668,13556.95236,0.02056576719,1.661126082,1,0
0.017,1798748.702,2595.739581,2.895465211,0.02232626763,0.01659491941,0.005731348229,13.78742857,4.68,17.52786938,1579.746196,1.183596784,0.7195,19600.82687,0.02076518368,1.730656852,1,0
0.018,2004634.264,2786.678459,2.933270911,0.02330800675,0.01738214828,0.005925858472,14.848,4.992,18.81756102,1639.901522,1.168515659,0.771,25824.22747,0.02088266258,1.806757952,1,0
0.019,2211795.998,2946.611794,2.965204424,0.02436540492,0.01822060069,0.006144804232,15.90857143,5.304,20.12423393,1691.888208,1.155152237,0.8225,32132.70023,0.0209209072,1.888723887,1,0
0.02,2420330.992,3079.500238,2.992607215,0.02547549831,0.01909483101,0.006380667304,16.96914286,5.616,21.45801429,1736.325664,1.145303375,0.874,38449.23214,0.02089090204,1.974774577,1,0
0.021,2598423.122,3158.015461,3.016460957,0.02665414646,0.02001791951,0.006636226953,18.02971429,5.928,22.70639162,1761.60162,1.140500979,0.874,43757.22209,0.02087844665,2.0661394,1,0
0.022,2752897.54,3193.293457,3.037438852,0.02798237535,0.0210516511,0.006930724248,19.09028571,6.24,23.93151148,1770.785151,1.138598507,0.874,48289.47683,0.020920034,2.169099217,1,0
0.023,2904919.647,3212.357056,3.056054261,0.02943481431,0.02217780728,0.007257007037,20.15085714,6.552,25.20538632,1774.135223,1.137695377,0.874,52716.34,0.02097876958,2.281687379,1,0
0.024,3058934.526,3225.358676,3.072725779,0.03096285162,0.02336036294,0.007602488676,21.21142857,6.864,26.52254842,1775.419081,1.13714988,0.874,57188.55033,0.02104155407,2.400135669,1,0
0.025,3214789.616,3235.614561,3.087780665,0.03253179749,0.0245734944,0.007958303087,22.272,7.176,27.86623883,1775.906737,1.136770582,0.874,61708.48222,0.02110285958,2.521755053,1,0
0.026,3371833.261,3244.448815,3.101469458,0.03412156737,0.02580221556,0.008319351814,23.33257143,7.488,29.2245182,1776.08883,1.136480722,0.874,66260.04101,0.0211608366,2.644988645,1,0
0.027,3529574.161,3252.436782,3.113985737,0.03572139899,0.02703848143,0.008682917557,24.39314286,7.8,30.59041967,1776.163042,1.136245692,0.874,70830.23588,0.02121504886,2.769002188,1,0
0.028,3687723.037,3259.854304,3.125482586,0.03732573877,0.02827813331,0.009047605458,25.45371429,8.112,31.96020279,1776.211685,1.136048146,0.874,75411.27897,0.02126558483,2.893365188,1,0
0.029,3846119.51,3266.842248,3.136084153,0.03893178839,0.02951907169,0.009412716704,26.51428571,8.424,33.33191751,1776.267744,1.135878251,0.874,79998.83608,0.02131271451,3.01786073,1,0
0.03,4004680.983,3273.482243,3.145893323,0.04053816393,0.03076025582,0.009777908106,27.57485714,8.736,34.70458155,1776.343969,1.135729909,0.874,84590.68963,0.02135674996,3.142381535,1,0
0.031,4163366.302,3279.827235,3.154996807,0.0421441882,0.03200117483,0.01014301338,28.63542857,9.048,36.07770745,1776.444496,1.135599003,0.874,89185.75387,0.02139799405,3.266875112,1,0
0.032,4322155.311,3285.914929,3.163468613,0.04374953355,0.0332415803,0.01050795325,29.696,9.36,37.45105504,1776.569756,1.135482568,0.874,93783.51469,0.02143672312,3.391316061,1,0
0.033,4480983.472,3291.720095,3.171372504,0.0453540476,0.03448135581,0.0108726918,30.75657143,9.672,38.82432772,1776.705106,1.135382808,0.874,98381.8557,0.02147309438,3.515692571,1,0
0.034,4639104.612,3296.427619,3.178763761,0.04695902271,0.03572148323,0.01123753947,31.81714286,9.984,40.19575016,1776.642228,1.135366157,0.874,102954.4687,0.02150589162,3.640104819,1,0
0.035,4797434.871,3300.980197,3.185690603,0.04856445073,0.03696195658,0.01160249415,32.87771429,10.296,41.56836175,1776.610119,1.135356844,0.874,107532.6928,0.02153680805,3.764552177,1,0
0.036,4955870.397,3305.378994,3.192195502,0.05016959446,0.03820221497,0.01196737949,33.93828571,10.608,42.94138491,1776.600772,1.135353216,0.874,112113.5996,0.02156606637,3.888977496,1,0
0.037,5114374.512,3309.637008,3.198315918,0.05177421204,0.03944207385,0.01233213818,34.99885714,10.92,44.3145347,1776.610752,1.135353028,0.874,116696.2677,0.0215938639,4.013362031,1,0
0.038,5248666.59,3320.513393,3.234546321,0.05328265121,0.04069980356,0.01258284765,36.05942857,10.92,45.52291314,1774.863232,1.134196755,0.874,120665.71,0.02172556607,4.13029114,1,0
0.039,5358570.989,3337.309733,3.305643274,0.0547340266,0.04202186651,0.01271216009,37.12,10.92,46.58287066,1770.796655,1.131981154,0.874,124017.2162,0.02197019696,4.242796858,1,0
0.04,5431733.686,3346.973128,3.359492125,0.05577834117,0.04298365326,0.0127946879,37.12,10.92,47.32142831,1766.959425,1.130550124,0.874,126250.1639,0.02215176706,4.323748596,1,0
0.041,5467056.078,3349.739733,3.382294605,0.05629389952,0.04344814071,0.01284575881,37.12,10.92,47.68507012,1764.887616,1.130016895,0.874,127316.8831,0.02223043159,4.363712938,1,0
0.042,5484358.315,3350.453413,3.392005837,0.05654849424,0.04367317113,0.01287532311,37.12,10.92,47.86480525,1763.824934,1.129805173,0.874,127835.623,0.02226526314,4.383448261,1,0
0.043,5492857.543,3350.557464,3.396156054,0.05667410862,0.04378236685,0.01289174177,37.12,10.92,47.9536079,1763.28698,1.129719095,0.874,128089.0242,0.02228088607,4.393185463,1,0
0.044,5497032.926,3350.507384,3.397933211,0.05673602704,0.04383541571,0.01290061134,37.12,10.92,47.99743528,1763.016023,1.129683898,0.874,128212.9423,0.02228795318,4.39798517,1,0
0.045,5499083.307,3350.440029,3.398695034,0.05676652388,0.04386121368,0.0129053102,37.12,10.92,48.0190435,1762.879984,1.129669546,0.874,128273.5565,0.02229117058,4.400349182,1,0
0.046,5500089.779,3350.388685,3.3990218,0.05678153494,0.043873771,0.01290776394,37.12,10.92,48.02968801,1762.811868,1.129663739,0.874,128303.2095,0.02229264334,4.401512788,1,0
0.047,5500583.697,3350.355644,3.399162001,0.05678891982,0.04387988855,0.01290903127,37.12,10.92,48.03492817,1762.777849,1.129661417,0.874,128317.7184,0.02229332082,4.40208524,1,0
0.048,5500826.032,3350.336059,3.399222165,0.05679255137,0.04388287115,0.01290968022,37.12,10.92,48.0375064,1762.760895,1.129660503,0.874,128324.8186,0.02229363393,4.402366745,1,0
0.049,5500944.924,3350.325003,3.399247985,0.05679433657,0.04388432633,0.01291001025,37.12,10.92,48.0387744,1762.752465,1.129660152,0.874,128328.2941,0.02229377929,4.402505128,1,0
0.05,5501003.251,3350.318959,3.399259067,0.05679521389,0.04388503674,0.01291017715,37.12,10.92,48.03939779,1762.748281,1.129660021,0.874,128329.9958,0.02229384706,4.402573134,1,0
0.051,5501031.857,3350.315724,3.399263823,0.05679564492,0.04388538375,0.01291026117,37.12,10.92,48.03970415,1762.746206,1.129659975,0.874,128330.8289,0.0222938788,4.402606547,1,0
0.052,5501045.897,3350.314025,3.399265864,0.05679585665,0.04388555334,0.01291030331,37.12,10.92,48.03985471,1762.74518,1.12965996,0.874,128331.2372,0.02229389371,4.402622959,1,0
0.053,5501052.778,3350.313141,3.39926674,0.05679596063,0.04388563626,0.01291032438,37.12,10.92,48.03992864,1762.744672,1.129659955,0.874,128331.437,0.02229390075,4.40263102,1,0
0.054,5501056.158,3350.312688,3.399267117,0.05679601169,0.04388567682,0.01291033488,37.12,10.92,48.03996498,1762.744422,1.129659955,0.874,128331.5351,0.02229390408,4.402634978,1,0
0.055,5501057.811,3350.312454,3.399267278,0.05679603676,0.04388569666,0.0129103401,37.12,10.92,48.0399828,1762.744298,1.129659955,0.874,128331.5829,0.02229390566,4.402636921,1,0
0.056,5501058.626,3350.312337,3.399267347,0.05679604907,0.04388570637,0.0129103427,37.12,10.92,48.03999157,1762.744237,1.129659956,0.874,128331.6065,0.02229390642,4.402637875,1,0
0.057,5501059.022,3350.312277,3.399267377,0.05679605511,0.04388571113,0.01291034398,37.12,10.92,48.03999586,1762.744207,1.129659956,0.874,128331.618,0.02229390678,4.402638343,1,0
0.058,5501059.222,3350.312249,3.39926739,0.05679605808,0.04388571346,0.01291034462,37.12,10.92,48.03999798,1762.744193,1.129659956,0.874,128331.6238,0.02229390695,4.402638573,1,0
0.059,5501059.311,3350.312231,3.399267395,0.05679605953,0.0438857146,0.01291034494,37.12,10.92,48.03999899,1762.744184,1.129659956,0.874,128331.6264,0.02229390704,4.402638686,1,0
